episode,target_x,stop_sensor_x,stop_sensor_x_actual,stop_oracle_horiz_dist,n_steps,reason,episode_valid
0,1.0112351338496506,0.9500000000000003,0.9500381445758157,0.06123513384965029,8,corridor_end,True
1,1.1612030708033476,0.9500000000000003,0.9500381445758157,0.21120307080334733,8,corridor_end,True
2,1.1282298573680734,0.9500000000000003,0.9500381445758157,0.17822985736807306,8,corridor_end,True
3,1.1107707610429511,0.9500000000000003,0.9500381445758157,0.16077076104295085,8,corridor_end,True
4,1.0796777366438046,0.9500000000000003,0.9500381445758157,0.12967773664380433,8,corridor_end,True
5,1.0072012953183813,0.9500000000000003,0.9500381445758157,0.05720129531838103,8,corridor_end,True
6,1.1964134325271734,0.9500000000000003,0.9500381445758157,0.24641343252717307,8,corridor_end,True
7,1.2125109223506223,0.9500000000000003,0.9500381445758157,0.262510922350622,8,corridor_end,True
8,1.1544554528742135,0.9500000000000003,0.9500381445758157,0.20445545287421318,8,corridor_end,True
9,1.1745425576558737,0.9500000000000003,0.9500381445758157,0.2245425576558734,8,corridor_end,True
10,1.2268794958288063,0.9500000000000003,0.9500381445758157,0.276879495828806,8,corridor_end,True
11,1.1331863595136367,0.9500000000000003,0.9500381445758157,0.18318635951363638,8,corridor_end,True
12,1.290048075827872,0.9500000000000003,0.9500381445758157,0.3400480758278718,8,corridor_end,True
13,1.0440636031184176,0.9500000000000003,0.9500381445758157,0.09406360311841733,8,corridor_end,True
14,1.021150961790832,0.9500000000000003,0.9500381445758157,0.0711509617908318,8,corridor_end,True
15,1.0599754751997101,0.9500000000000003,0.9500381445758157,0.10997547519970985,8,corridor_end,True
16,1.1418372525363654,0.9500000000000003,0.9500381445758157,0.19183725253636508,8,corridor_end,True
17,1.18614948041193,0.9500000000000003,0.9500381445758157,0.23614948041192962,8,corridor_end,True
18,1.1483731175185203,0.9500000000000003,0.9500381445758157,0.19837311751852005,8,corridor_end,True
19,1.1649660667830513,0.9500000000000003,0.9500381445758157,0.21496606678305097,8,corridor_end,True
20,1.0761105827633186,0.9500000000000003,0.9500381445758157,0.12611058276331832,8,corridor_end,True
21,1.1581031627096914,0.9500000000000003,0.9500381445758157,0.2081031627096911,8,corridor_end,True
22,1.1274007884428576,0.9500000000000003,0.9500381445758157,0.17740078844285734,8,corridor_end,True
23,1.0100075138833478,0.9500000000000003,0.9500381445758157,0.06000751388334746,8,corridor_end,True
24,1.1778790710983686,0.9500000000000003,0.9500381445758157,0.22787907109836836,8,corridor_end,True
25,1.270849909301429,0.9500000000000003,0.9500381445758157,0.32084990930142865,8,corridor_end,True
26,1.135804820973293,0.9500000000000003,0.9500381445758157,0.18580482097329265,8,corridor_end,True
27,1.0339351187337562,0.9500000000000003,0.9500381445758157,0.08393511873375592,8,corridor_end,True
28,1.081979695865951,0.9500000000000003,0.9500381445758157,0.13197969586595082,8,corridor_end,True
29,1.0668597399437618,0.9500000000000003,0.9500381445758157,0.11685973994376153,8,corridor_end,True
