episode,step,sensor_x,sensor_x_actual,peak_idx,d3d_est,d_horiz_est,oracle_horiz_dist,drift,stationarity_ok,waveform_tag,posture_violation,sensor_pose_violation,ik_ok,q_shoulder_pan,q_shoulder_lift,q_elbow,q_wrist_1,q_wrist_2,q_wrist_3
0,0,0.6,0.5999971389716996,30.0,0.5833319785879489,0.5515217105820326,0.5268428284417602,0.0866931501650655,False,ep000_step000,False,False,True,-0.5204884945273844,-2.2357968911138335,2.053048796509201,-1.38669081607142,-1.5715990109118338,-0.520625194614212
0,1,0.65,0.6500013420496763,26.0,0.514513863918283,0.4781469608437572,0.4768428284417602,0.08124756255762204,False,ep000_step001,False,False,True,-0.4505453345505175,-2.133868620733503,2.0146885966875834,-1.4498058208938405,-1.5705149052021627,-0.45033147375795185
0,2,0.7000000000000001,0.7000075242920418,23.0,0.4629002779160337,0.4221097810934275,0.42684282844176014,0.057049543251218575,False,ep000_step002,False,False,True,-0.39759916931969336,-2.0363216106618363,1.9688720593553608,-1.5019139503511671,-1.5699995604006818,-0.3979843714559276
0,3,0.7500000000000001,0.7500129656647858,20.0,0.41128669191378436,0.3647694380638052,0.3768428284417601,0.10734479806046465,False,ep000_step003,False,False,True,-0.3559145818388143,-1.942184148059434,1.9157477500180542,-1.5428007376744202,-1.5701623792846198,-0.3551781178650099
0,4,0.8000000000000002,0.8000195864590397,18.0,0.37687763457895146,0.3254792642332621,0.32684282844176005,0.02762136322741882,True,ep000_step004,False,False,True,-0.3222635464594593,-1.8512573785587165,1.8561487764526605,-1.57472729285862,-1.5704263758040753,-0.32120842798532245
1,0,0.6,0.5999971389716996,27.0,0.5317183925856995,0.49661297708972535,0.5015341648072437,0.02478979080200974,True,ep001_step000,False,False,True,-0.5204884945273844,-2.2357968911138335,2.053048796509201,-1.38669081607142,-1.5715990109118338,-0.520625194614212
1,1,0.65,0.6500013420496763,24.0,0.48010480658345017,0.4409088628101414,0.4515341648072436,0.07813416973131636,False,ep001_step001,False,False,True,-0.4505453345505175,-2.133868620733503,2.0146885966875834,-1.4498058208938405,-1.5705149052021627,-0.45033147375795185
1,2,0.7000000000000001,0.7000075242920418,24.0,0.48010480658345017,0.4409088628101414,0.4015341648072436,0.012656737137108545,True,ep001_step002,False,False,True,-0.39759916931969336,-2.0363216106618363,1.9688720593553608,-1.5019139503511671,-1.5699995604006818,-0.3979843714559276
1,3,0.7500000000000001,0.7500129656647858,19.0,0.3940821632463679,0.34525461820073744,0.35153416480724353,0.0070922415219400676,True,ep001_step003,False,False,True,-0.3559145818388143,-1.942184148059434,1.9157477500180542,-1.5428007376744202,-1.5701623792846198,-0.3551781178650099
2,0,0.6,0.5999970197635405,23.0,0.4629002779160337,0.4221097810934275,0.42268695035276627,0.11437799429675954,False,ep002_step000,False,False,True,-0.5204884945273844,-2.2357968911138335,2.053048796509201,-1.38669081607142,-1.5715990109118338,-0.520625194614212
2,1,0.65,0.6500013420496763,20.0,0.41128669191378436,0.3647694380638052,0.3726869503527662,0.019326861072607702,True,ep002_step001,False,False,True,-0.4505453345505175,-2.133868620733503,2.0146885966875834,-1.4498058208938405,-1.5705149052021627,-0.45033147375795185
2,2,0.7000000000000001,0.7000075242920418,17.0,0.359673105911535,0.30539276860471054,0.3226869503527662,0.026517477677768006,True,ep002_step002,False,False,True,-0.39759916931969336,-2.0363216106618363,1.9688720593553608,-1.5019139503511671,-1.5699995604006818,-0.3979843714559276
3,0,0.6,0.5999971091648704,24.0,0.48010480658345017,0.4409088628101414,0.44625086939266845,0.07223694518413092,False,ep003_step000,False,False,True,-0.5204884945273844,-2.2357968911138335,2.053048796509201,-1.38669081607142,-1.5715990109118338,-0.520625194614212
3,1,0.65,0.6500013420496763,21.0,0.4284912205812008,0.3840634402220124,0.3962508693926684,0.13654497242550329,False,ep003_step001,False,False,True,-0.4505453345505175,-2.133868620733503,2.0146885966875834,-1.4498058208938405,-1.5705149052021627,-0.45033147375795185
3,2,0.7000000000000001,0.7000075242920418,19.0,0.3940821632463679,0.34525461820073744,0.34625086939266836,0.02514376532929046,True,ep003_step002,False,False,True,-0.39759916931969336,-2.0363216106618363,1.9688720593553608,-1.5019139503511671,-1.5699995604006818,-0.3979843714559276
4,0,0.6,0.5999971091648704,23.0,0.4629002779160337,0.4221097810934275,0.43204507175210083,0.10088696486933107,False,ep004_step000,False,False,True,-0.5204884945273844,-2.2357968911138335,2.053048796509201,-1.38669081607142,-1.5715990109118338,-0.520625194614212
4,1,0.65,0.6500013420496763,23.0,0.4629002779160337,0.4221097810934275,0.3820450717521008,0.044656069457168775,True,ep004_step001,False,False,True,-0.4505453345505175,-2.133868620733503,2.0146885966875834,-1.4498058208938405,-1.5705149052021627,-0.45033147375795185
4,2,0.7000000000000001,0.7000075242920418,18.0,0.37687763457895146,0.3254792642332621,0.33204507175210074,0.039158236365871284,True,ep004_step002,False,False,True,-0.39759916931969336,-2.0363216106618363,1.9688720593553608,-1.5019139503511671,-1.5699995604006818,-0.3979843714559276
5,0,0.6,0.5999971091648704,25.0,0.4973093352508666,0.4595830446477098,0.42105007813429884,0.058714351011819335,False,ep005_step000,False,False,True,-0.5204884945273844,-2.2357968911138335,2.053048796509201,-1.38669081607142,-1.5715990109118338,-0.520625194614212
5,1,0.65,0.6500013420496763,20.0,0.41128669191378436,0.3647694380638052,0.3710500781342988,0.010258148935648404,True,ep005_step001,False,False,True,-0.4505453345505175,-2.133868620733503,2.0146885966875834,-1.4498058208938405,-1.5705149052021627,-0.45033147375795185
5,2,0.7000000000000001,0.7000075242920418,17.0,0.359673105911535,0.30539276860471054,0.32105007813429876,0.019989662583821163,True,ep005_step002,False,False,True,-0.39759916931969336,-2.0363216106618363,1.9688720593553608,-1.5019139503511671,-1.5699995604006818,-0.3979843714559276
6,0,0.6,0.5999971091648704,31.0,0.6005365072553653,0.5696877184444767,0.5454043529568543,0.01151862854958012,True,ep006_step000,False,False,True,-0.5204884945273844,-2.2357968911138335,2.053048796509201,-1.38669081607142,-1.5715990109118338,-0.520625194614212
6,1,0.65,0.6500013420496763,27.0,0.5317183925856995,0.49661297708972535,0.49540435295685425,0.040202716721106015,True,ep006_step001,False,False,True,-0.4505453345505175,-2.133868620733503,2.0146885966875834,-1.4498058208938405,-1.5705149052021627,-0.45033147375795185
6,2,0.7000000000000001,0.7000075242920418,24.0,0.48010480658345017,0.4409088628101414,0.4454043529568542,0.06900792799488664,False,ep006_step002,False,False,True,-0.39759916931969336,-2.0363216106618363,1.9688720593553608,-1.5019139503511671,-1.5699995604006818,-0.3979843714559276
6,3,0.7500000000000001,0.7500129656647858,21.0,0.4284912205812008,0.3840634402220124,0.39540435295685417,0.0022258501463782287,True,ep006_step003,False,False,True,-0.3559145818388143,-1.942184148059434,1.9157477500180542,-1.5428007376744202,-1.5701623792846198,-0.3551781178650099
6,4,0.8000000000000002,0.8000195864590397,19.0,0.3940821632463679,0.34525461820073744,0.3454043529568541,0.008437081722136724,True,ep006_step004,False,False,True,-0.3222635464594593,-1.8512573785587165,1.8561487764526605,-1.57472729285862,-1.5704263758040753,-0.32120842798532245
7,0,0.6,0.5999971091648704,24.0,0.48010480658345017,0.4409088628101414,0.4518935945491499,0.09205401936008703,False,ep007_step000,False,False,True,-0.5204884945273844,-2.2357968911138335,2.053048796509201,-1.38669081607142,-1.5715990109118338,-0.520625194614212
7,1,0.65,0.6500013420496763,24.0,0.48010480658345017,0.4409088628101414,0.40189359454914986,0.09913325730170564,False,ep007_step001,False,False,True,-0.4505453345505175,-2.133868620733503,2.0146885966875834,-1.4498058208938405,-1.5705149052021627,-0.45033147375795185
7,2,0.7000000000000001,0.7000075242920418,19.0,0.3940821632463679,0.34525461820073744,0.3518935945491498,0.008575163001436696,True,ep007_step002,False,False,True,-0.39759916931969336,-2.0363216106618363,1.9688720593553608,-1.5019139503511671,-1.5699995604006818,-0.3979843714559276
8,0,0.6,0.5999971091648704,26.0,0.514513863918283,0.4781469608437572,0.47632406923631876,0.026442359014270687,True,ep008_step000,False,False,True,-0.5204884945273844,-2.2357968911138335,2.053048796509201,-1.38669081607142,-1.5715990109118338,-0.520625194614212
8,1,0.65,0.6500013420496763,23.0,0.4629002779160337,0.4221097810934275,0.4263240692363187,0.02290875206863466,True,ep008_step001,False,False,True,-0.4505453345505175,-2.133868620733503,2.0146885966875834,-1.4498058208938405,-1.5705149052021627,-0.45033147375795185
8,2,0.7000000000000001,0.7000075242920418,20.0,0.41128669191378436,0.3647694380638052,0.37632406923631867,0.05208286026866294,False,ep008_step002,False,False,True,-0.39759916931969336,-2.0363216106618363,1.9688720593553608,-1.5019139503511671,-1.5699995604006818,-0.3979843714559276
8,3,0.7500000000000001,0.7500129656647858,18.0,0.37687763457895146,0.3254792642332621,0.3263240692363186,0.005194134900281243,True,ep008_step003,False,False,True,-0.3559145818388143,-1.942184148059434,1.9157477500180542,-1.5428007376744202,-1.5701623792846198,-0.3551781178650099
9,0,0.6,0.5999970197635405,31.0,0.6005365072553653,0.5696877184444767,0.5453601743861815,0.01874039987356739,True,ep009_step000,False,False,True,-0.5204884945273844,-2.2357968911138335,2.053048796509201,-1.38669081607142,-1.5715990109118338,-0.520625194614212
9,1,0.65,0.6500013420496763,27.0,0.5317183925856995,0.49661297708972535,0.4953601743861814,0.12674507120130576,False,ep009_step001,False,False,True,-0.4505453345505175,-2.133868620733503,2.0146885966875834,-1.4498058208938405,-1.5705149052021627,-0.45033147375795185
9,2,0.7000000000000001,0.7000075242920418,24.0,0.48010480658345017,0.4409088628101414,0.44536017438618136,0.07641671669397093,False,ep009_step002,False,False,True,-0.39759916931969336,-2.0363216106618363,1.9688720593553608,-1.5019139503511671,-1.5699995604006818,-0.3979843714559276
9,3,0.7500000000000001,0.7500129656647858,21.0,0.4284912205812008,0.3840634402220124,0.3953601743861813,0.029149483048352725,True,ep009_step003,False,False,True,-0.3559145818388143,-1.942184148059434,1.9157477500180542,-1.5428007376744202,-1.5701623792846198,-0.3551781178650099
9,4,0.8000000000000002,0.8000195864590397,19.0,0.3940821632463679,0.34525461820073744,0.3453601743861813,0.018037450242621426,True,ep009_step004,False,False,True,-0.3222635464594593,-1.8512573785587165,1.8561487764526605,-1.57472729285862,-1.5704263758040753,-0.32120842798532245
10,0,0.6,0.5999971091648704,27.0,0.5317183925856995,0.49661297708972535,0.5005112172132308,0.05303473765653667,False,ep010_step000,False,False,True,-0.5204884945273844,-2.2357968911138335,2.053048796509201,-1.38669081607142,-1.5715990109118338,-0.520625194614212
10,1,0.65,0.6500013420496763,24.0,0.48010480658345017,0.4409088628101414,0.45051121721323073,0.008837921086211804,True,ep010_step001,False,False,True,-0.4505453345505175,-2.133868620733503,2.0146885966875834,-1.4498058208938405,-1.5705149052021627,-0.45033147375795185
10,2,0.7000000000000001,0.7000075242920418,24.0,0.48010480658345017,0.4409088628101414,0.4005112172132307,0.08993132206122412,False,ep010_step002,False,False,True,-0.39759916931969336,-2.0363216106618363,1.9688720593553608,-1.5019139503511671,-1.5699995604006818,-0.3979843714559276
10,3,0.7500000000000001,0.7500129656647858,19.0,0.3940821632463679,0.34525461820073744,0.35051121721323064,0.029464708088696553,True,ep010_step003,False,False,True,-0.3559145818388143,-1.942184148059434,1.9157477500180542,-1.5428007376744202,-1.5701623792846198,-0.3551781178650099
11,0,0.6,0.5999971985678787,27.0,0.5317183925856995,0.49661297708972535,0.4978241922728436,0.05402260517836721,False,ep011_step000,False,False,True,-0.5204884945273844,-2.2357968911138335,2.053048796509201,-1.38669081607142,-1.5715990109118338,-0.520625194614212
11,1,0.65,0.6500013420496763,24.0,0.48010480658345017,0.4409088628101414,0.44782419227284354,0.03349996572002435,True,ep011_step001,False,False,True,-0.4505453345505175,-2.133868620733503,2.0146885966875834,-1.4498058208938405,-1.5705149052021627,-0.45033147375795185
11,2,0.7000000000000001,0.7000075242920418,21.0,0.4284912205812008,0.3840634402220124,0.3978241922728435,0.014417507685258379,True,ep011_step002,False,False,True,-0.39759916931969336,-2.0363216106618363,1.9688720593553608,-1.5019139503511671,-1.5699995604006818,-0.3979843714559276
11,3,0.7500000000000001,0.7500129656647858,19.0,0.3940821632463679,0.34525461820073744,0.34782419227284345,0.0018620830537167633,True,ep011_step003,False,False,True,-0.3559145818388143,-1.942184148059434,1.9157477500180542,-1.5428007376744202,-1.5701623792846198,-0.3551781178650099
12,0,0.6,0.5999973475794437,26.0,0.514513863918283,0.4781469608437572,0.4876980152190554,0.044418831286521875,True,ep012_step000,False,False,True,-0.5204884945273844,-2.2357968911138335,2.053048796509201,-1.38669081607142,-1.5715990109118338,-0.520625194614212
12,1,0.65,0.6500013420496763,26.0,0.514513863918283,0.4781469608437572,0.4376980152190554,0.005191818298280074,True,ep012_step001,False,False,True,-0.4505453345505175,-2.133868620733503,2.0146885966875834,-1.4498058208938405,-1.5705149052021627,-0.45033147375795185
12,2,0.7000000000000001,0.7000075242920418,21.0,0.4284912205812008,0.3840634402220124,0.38769801521905534,0.02866442200935282,True,ep012_step002,False,False,True,-0.39759916931969336,-2.0363216106618363,1.9688720593553608,-1.5019139503511671,-1.5699995604006818,-0.3979843714559276
12,3,0.7500000000000001,0.7500129656647858,18.0,0.37687763457895146,0.3254792642332621,0.3376980152190553,0.03979451550447806,True,ep012_step003,False,False,True,-0.3559145818388143,-1.942184148059434,1.9157477500180542,-1.5428007376744202,-1.5701623792846198,-0.3551781178650099
13,0,0.6,0.5999970197635405,25.0,0.4973093352508666,0.4595830446477098,0.41831555453068303,0.016165264259196517,True,ep013_step000,False,False,True,-0.5204884945273844,-2.2357968911138335,2.053048796509201,-1.38669081607142,-1.5715990109118338,-0.520625194614212
13,1,0.65,0.6500013420496763,20.0,0.41128669191378436,0.3647694380638052,0.368315554530683,0.0292551941429916,True,ep013_step001,False,False,True,-0.4505453345505175,-2.133868620733503,2.0146885966875834,-1.4498058208938405,-1.5705149052021627,-0.45033147375795185
13,2,0.7000000000000001,0.7000075242920418,17.0,0.359673105911535,0.30539276860471054,0.31831555453068294,0.01872193394483737,True,ep013_step002,False,False,True,-0.39759916931969336,-2.0363216106618363,1.9688720593553608,-1.5019139503511671,-1.5699995604006818,-0.3979843714559276
14,0,0.6,0.5999971389716996,25.0,0.4973093352508666,0.4595830446477098,0.46775110709847845,0.054287273217990546,False,ep014_step000,False,False,True,-0.5204884945273844,-2.2357968911138335,2.053048796509201,-1.38669081607142,-1.5715990109118338,-0.520625194614212
14,1,0.65,0.6500013420496763,22.0,0.44569574924861727,0.40316832824303833,0.4177511070984784,0.012868300814822445,True,ep014_step001,False,False,True,-0.4505453345505175,-2.133868620733503,2.0146885966875834,-1.4498058208938405,-1.5705149052021627,-0.45033147375795185
14,2,0.7000000000000001,0.7000075242920418,20.0,0.41128669191378436,0.3647694380638052,0.36775110709847836,0.03445255070151454,True,ep014_step002,False,False,True,-0.39759916931969336,-2.0363216106618363,1.9688720593553608,-1.5019139503511671,-1.5699995604006818,-0.3979843714559276
14,3,0.7500000000000001,0.7500129656647858,17.0,0.359673105911535,0.30539276860471054,0.3177511070984783,0.02109854609393079,True,ep014_step003,False,False,True,-0.3559145818388143,-1.942184148059434,1.9157477500180542,-1.5428007376744202,-1.5701623792846198,-0.3551781178650099
15,0,0.6,0.5999970197635405,24.0,0.48010480658345017,0.4409088628101414,0.4547566673150635,0.0657706511541145,False,ep015_step000,False,False,True,-0.5204884945273844,-2.2357968911138335,2.053048796509201,-1.38669081607142,-1.5715990109118338,-0.520625194614212
15,1,0.65,0.6500013420496763,22.0,0.44569574924861727,0.40316832824303833,0.40475666731506343,0.0631164769967126,False,ep015_step001,False,False,True,-0.4505453345505175,-2.133868620733503,2.0146885966875834,-1.4498058208938405,-1.5705149052021627,-0.45033147375795185
15,2,0.7000000000000001,0.7000075242920418,19.0,0.3940821632463679,0.34525461820073744,0.3547566673150634,0.009581414714188621,True,ep015_step002,False,False,True,-0.39759916931969336,-2.0363216106618363,1.9688720593553608,-1.5019139503511671,-1.5699995604006818,-0.3979843714559276
16,0,0.6,0.5999971091648704,26.0,0.514513863918283,0.4781469608437572,0.4930510210449116,0.14475218841162235,False,ep016_step000,False,False,True,-0.5204884945273844,-2.2357968911138335,2.053048796509201,-1.38669081607142,-1.5715990109118338,-0.520625194614212
16,1,0.65,0.6500013420496763,24.0,0.48010480658345017,0.4409088628101414,0.44305102104491156,0.021218198293566245,True,ep016_step001,False,False,True,-0.4505453345505175,-2.133868620733503,2.0146885966875834,-1.4498058208938405,-1.5705149052021627,-0.45033147375795185
