episode,target_x,stop_sensor_x,d_horiz_est_stop,n_steps,reason,episode_valid,bar_x_pred,grasp_center_x_actual,align_error_x,aligned,bar_z_gain_m,grasp_lift_success,advance_ik_ok,lift_ik_ok,grasp_pose_peak_idx
0,1.1268428284417602,0.8000000000000002,0.3254792642332621,5,standoff_est,True,1.1254792642332623,1.1100001410700016,-0.01684390743005948,True,0.059868961572647095,True,True,True,19.0
1,1.1015341648072436,0.7500000000000001,0.34525461820073744,4,standoff_est,True,1.0952546182007374,1.0952546134076566,-0.006279872409298948,True,0.059947192668914795,True,True,True,19.0
2,1.0226869503527662,0.7000000000000001,0.30539276860471054,3,standoff_est,True,1.0053927686047106,1.005392767934893,-0.01729454800596386,True,0.00338667631149292,False,True,True,19.0
3,1.0462508693926684,0.7000000000000001,0.34525461820073744,3,standoff_est,True,1.0452546182007376,1.045254812796013,-0.0009963649917676953,True,0.05550616979598999,True,True,True,19.0
4,1.0320450717521008,0.7000000000000001,0.3254792642332621,3,standoff_est,True,1.0254792642332622,1.0100000897864752,-0.022046228267724066,False,0.05774340033531189,True,True,True,19.0
5,1.0210500781342988,0.7000000000000001,0.30539276860471054,3,standoff_est,True,1.0053927686047106,1.005392767934893,-0.015657685251142084,True,0.001923203468322754,False,True,True,19.0
6,1.1454043529568543,0.8000000000000002,0.34525461820073744,5,standoff_est,True,1.1452546182007377,1.1452535982537695,-0.0001519326757959405,True,0.0927516520023346,True,True,True,19.0
7,1.0518935945491499,0.7000000000000001,0.34525461820073744,3,standoff_est,True,1.0452546182007376,1.045254812796013,-0.006639971177680781,True,0.05609050393104553,True,True,True,19.0
8,1.0763240692363187,0.7500000000000001,0.3254792642332621,4,standoff_est,True,1.0754792642332622,1.0599997937736823,-0.016325503581969603,True,0.0859503448009491,True,True,True,19.0
9,1.1453601743861814,0.8000000000000002,0.34525461820073744,5,standoff_est,True,1.1452546182007377,1.1452535982537695,-0.00010758682008304987,True,0.09303686022758484,True,True,True,19.0
10,1.1005112172132308,0.7500000000000001,0.34525461820073744,4,standoff_est,True,1.0952546182007374,1.0952546134076566,-0.005257771960690549,True,0.06129845976829529,True,True,True,19.0
11,1.0978241922728436,0.7500000000000001,0.34525461820073744,4,standoff_est,True,1.0952546182007374,1.0952546134076566,-0.0025699601091890845,True,0.06040745973587036,True,True,True,19.0
12,1.0876980152190554,0.7500000000000001,0.3254792642332621,4,standoff_est,True,1.0754792642332622,1.0599997937736823,-0.027699381107299192,False,0.08676394820213318,True,True,True,19.0
13,1.018315554530683,0.7000000000000001,0.30539276860471054,3,standoff_est,True,1.0053927686047106,1.005392767934893,-0.012923977823163568,True,0.06718650460243225,True,True,True,19.0
14,1.0677511070984784,0.7500000000000001,0.30539276860471054,4,standoff_est,True,1.0553927686047107,1.055392998761862,-0.012359243326455882,True,-11981.51371076703,False,True,True,20.0
15,1.0547566673150635,0.7000000000000001,0.34525461820073744,3,standoff_est,True,1.0452546182007376,1.045254812796013,-0.009502186219795039,True,0.05616116523742676,True,True,True,20.0
16,1.0930510210449116,0.7500000000000001,0.34525461820073744,4,standoff_est,True,1.0952546182007374,1.0952546134076566,0.0022023453793973413,True,0.05988225340843201,True,True,True,19.0
17,1.0672478557395788,0.7500000000000001,0.30539276860471054,4,standoff_est,True,1.0553927686047107,1.055392998761862,-0.011856060915262034,True,0.06320390105247498,True,True,True,19.0
18,1.0870646592546869,0.7500000000000001,0.3254792642332621,4,standoff_est,True,1.0754792642332622,1.0599997937736823,-0.02706602215191589,False,0.08607909083366394,True,True,True,19.0
19,1.1294727034602832,0.8000000000000002,0.3254792642332621,5,standoff_est,True,1.1254792642332623,1.1100001410700016,-0.01947294910181241,True,0.059972524642944336,True,True,True,19.0
20,1.0988468985283415,0.7500000000000001,0.34525461820073744,4,standoff_est,True,1.0952546182007374,1.0952546134076566,-0.0035934910692720923,True,0.059876590967178345,True,True,True,19.0
21,1.0580929356047282,0.7000000000000001,0.34525461820073744,3,standoff_est,True,1.0452546182007376,1.045254812796013,-0.012838496606452754,True,0.05544096231460571,True,True,True,19.0
22,1.0230085147267927,0.7000000000000001,0.30539276860471054,3,standoff_est,True,1.0053927686047106,1.005392767934893,-0.017616055459882318,True,-0.030000001192092896,False,True,True,19.0
23,1.1226163649239311,0.8000000000000002,0.30539276860471054,5,standoff_est,True,1.1053927686047107,1.1053927564222756,-0.017224845926052,True,0.06159338355064392,True,True,True,19.0
24,1.0759257499944372,0.7500000000000001,0.3254792642332621,4,standoff_est,True,1.0754792642332622,1.0599997937736823,-0.015926271671264036,True,0.08507078886032104,True,True,True,19.0
25,1.0315535684161508,0.7000000000000001,0.3254792642332621,3,standoff_est,True,1.0254792642332622,1.0100000897864752,-0.02155389390187934,False,0.05617612600326538,True,True,True,19.0
26,1.0630837754089069,0.7500000000000001,0.30539276860471054,4,standoff_est,True,1.0553927686047107,1.055392998761862,-0.007691961221963695,True,0.0027139484882354736,False,True,True,19.0
27,1.140117006101498,0.8000000000000002,0.3254792642332621,5,standoff_est,True,1.1254792642332623,1.1100001410700016,-0.030117265775091218,False,-12341.477578163147,False,True,True,19.0
28,1.0390178322451131,0.7000000000000001,0.3254792642332621,3,standoff_est,True,1.0254792642332622,1.0100000897864752,-0.029018898822838812,False,-11784.36527326703,False,True,True,19.0
29,1.0128207481102045,0.7000000000000001,0.30539276860471054,3,standoff_est,True,1.0053927686047106,1.005392767934893,-0.007428310365583002,True,0.06518423557281494,True,True,True,19.0
