d_true,k,d_hat,err,pass_id,held_out
0.15,5.0,0.16298754563284995,0.012987545632849956,distance_p1,True
0.15,5.0,0.16298754563284995,0.012987545632849956,distance_p2,True
0.15,5.0,0.16298754563284995,0.012987545632849956,distance_p3,True
0.20526315789473684,8.0,0.21512510012722053,0.009861942232483684,distance_p1,True
0.20526315789473684,8.0,0.21512510012722053,0.009861942232483684,distance_p2,True
0.20526315789473684,8.0,0.21512510012722053,0.009861942232483684,distance_p3,True
0.2605263157894737,11.0,0.26748677440394225,0.006960458614468534,distance_p1,True
0.2605263157894737,11.0,0.26748677440394225,0.006960458614468534,distance_p2,True
0.2605263157894737,11.0,0.26748677440394225,0.006960458614468534,distance_p3,True
0.3157894736842105,14.0,0.32002425829879366,0.004234784614583154,distance_p1,True
0.3157894736842105,14.0,0.32002425829879366,0.004234784614583154,distance_p2,True
0.3157894736842105,14.0,0.32002425829879366,0.004234784614583154,distance_p3,True
0.3710526315789474,17.0,0.3726977100071051,0.001645078428157698,distance_p1,True
0.3710526315789474,17.0,0.3726977100071051,0.001645078428157698,distance_p2,True
0.3710526315789474,17.0,0.3726977100071051,0.001645078428157698,distance_p3,True
0.4263157894736842,20.0,0.42547345500386796,-0.0008423344698162416,distance_p1,True
0.4263157894736842,20.0,0.42547345500386796,-0.0008423344698162416,distance_p2,True
0.4263157894736842,20.0,0.42547345500386796,-0.0008423344698162416,distance_p3,True
0.5368421052631579,26.0,0.53121814100816,-0.005623964254997893,distance_p1,True
0.5368421052631579,26.0,0.53121814100816,-0.005623964254997893,distance_p2,True
0.5368421052631579,26.0,0.53121814100816,-0.005623964254997893,distance_p3,True
0.5921052631578948,27.0,0.5461639977048668,-0.04594126545302801,distance_p1,True
0.5921052631578948,27.0,0.5461639977048668,-0.04594126545302801,distance_p2,True
0.5921052631578948,27.0,0.5461639977048668,-0.04594126545302801,distance_p3,True
0.8131578947368422,42.0,0.8146081406299048,0.0014502458930626405,distance_p1,True
0.8131578947368422,42.0,0.8146081406299048,0.0014502458930626405,distance_p2,True
0.8131578947368422,42.0,0.8146081406299048,0.0014502458930626405,distance_p3,True
0.8684210526315791,45.0,0.8674672835007446,-0.0009537691308344476,distance_p1,True
0.8684210526315791,45.0,0.8674672835007446,-0.0009537691308344476,distance_p2,True
0.8684210526315791,45.0,0.8674672835007446,-0.0009537691308344476,distance_p3,True
0.9236842105263159,48.0,0.9202695763799743,-0.0034146341463415775,distance_p1,True
0.9236842105263159,48.0,0.9202695763799743,-0.0034146341463415775,distance_p2,True
0.9236842105263159,48.0,0.9202695763799743,-0.0034146341463415775,distance_p3,True
0.9789473684210527,51.0,0.9729883995259787,-0.005958968895073968,distance_p1,True
0.9789473684210527,51.0,0.9729883995259787,-0.005958968895073968,distance_p2,True
0.9789473684210527,51.0,0.9729883995259787,-0.005958968895073968,distance_p3,True
1.0342105263157895,55.0,1.0458108423946313,0.011600316078841821,distance_p1,True
1.0342105263157895,55.0,1.0458108423946313,0.011600316078841821,distance_p2,True
1.0342105263157895,55.0,1.0458108423946313,0.011600316078841821,distance_p3,True
1.0894736842105264,58.0,1.0987494013091377,0.009275717098611302,distance_p1,True
1.0894736842105264,58.0,1.0987494013091377,0.009275717098611302,distance_p2,True
1.0894736842105264,58.0,1.0987494013091377,0.009275717098611302,distance_p3,True
1.1447368421052633,61.0,1.1515949437389266,0.006858101633663294,distance_p1,True
1.1447368421052633,61.0,1.1515949437389266,0.006858101633663294,distance_p2,True
1.1447368421052633,61.0,1.1515949437389266,0.006858101633663294,distance_p3,True
1.2,64.0,1.2043123938879459,0.004312393887945909,distance_p1,True
1.2,64.0,1.2043123938879459,0.004312393887945909,distance_p2,True
1.2,64.0,1.2043123938879459,0.004312393887945909,distance_p3,True
