episode,target_x,e_closed,e_blind,delta_blind_minus_closed,stop_x_closed,stop_x_blind,d_h_closed,d_h_blind,reason_c,reason_b
0,1.0112351338496506,0.038764866150349464,0.2887648661503497,0.2500000000000002,0.7000078566784489,0.9500381445758157,0.3112351338496505,0.06123513384965029,standoff_est,corridor_end
1,1.1612030708033476,0.03879692919665256,0.13879692919665265,0.10000000000000009,0.8500235798860047,0.9500381445758157,0.3112030708033474,0.21120307080334733,standoff_est,corridor_end
2,1.1282298573680734,0.02177014263192678,0.17177014263192691,0.15000000000000013,0.8000176432805527,0.9500381445758157,0.3282298573680732,0.17822985736807306,standoff_est,corridor_end
3,1.1107707610429511,0.039229238957048995,0.18922923895704913,0.15000000000000013,0.8000176432805527,0.9500381445758157,0.310770761042951,0.16077076104295085,standoff_est,corridor_end
4,1.0796777366438046,0.02032226335619547,0.22032226335619565,0.20000000000000018,0.7500125736661709,0.9500381445758157,0.3296777366438045,0.12967773664380433,standoff_est,corridor_end
5,1.0072012953183813,0.04279870468161873,0.29279870468161895,0.2500000000000002,0.7000078566784489,0.9500381445758157,0.30720129531838125,0.05720129531838103,standoff_est,corridor_end
6,1.1964134325271734,0.003586567472826818,0.10358656747282691,0.10000000000000009,0.8500235798860047,0.9500381445758157,0.34641343252717316,0.24641343252717307,standoff_est,corridor_end
7,1.2125109223506223,0.03748907764937792,0.08748907764937797,0.050000000000000044,0.9000300558224845,0.9500381445758157,0.31251092235062206,0.262510922350622,standoff_est,corridor_end
8,1.1544554528742135,0.045544547125786705,0.1455445471257868,0.10000000000000009,0.8500235798860047,0.9500381445758157,0.3044554528742133,0.20445545287421318,standoff_est,corridor_end
9,1.1745425576558737,0.025457442344126502,0.1254574423441266,0.10000000000000009,0.8500235798860047,0.9500381445758157,0.3245425576558735,0.2245425576558734,standoff_est,corridor_end
10,1.2268794958288063,0.023120504171193934,0.07312050417119398,0.050000000000000044,0.9000300558224845,0.9500381445758157,0.32687949582880604,0.276879495828806,standoff_est,corridor_end
11,1.1331863595136367,0.016813640486363468,0.1668136404863636,0.15000000000000013,0.8000176432805527,0.9500381445758157,0.3331863595136365,0.18318635951363638,standoff_est,corridor_end
12,1.290048075827872,0.009951924172128201,0.009951924172128201,0.0,0.9500381445758157,0.9500381445758157,0.3400480758278718,0.3400480758278718,standoff_est,corridor_end
13,1.0440636031184176,0.005936396881582429,0.25593639688158265,0.2500000000000002,0.7000078566784489,0.9500381445758157,0.34406360311841755,0.09406360311841733,standoff_est,corridor_end
14,1.021150961790832,0.028849038209167954,0.2788490382091682,0.2500000000000002,0.7000078566784489,0.9500381445758157,0.321150961790832,0.0711509617908318,standoff_est,corridor_end
15,1.0599754751997101,0.04002452480028995,0.24002452480029013,0.20000000000000018,0.7500125736661709,0.9500381445758157,0.30997547519971,0.10997547519970985,standoff_est,corridor_end
16,1.1418372525363654,0.008162747463634767,0.1581627474636349,0.15000000000000013,0.8000176432805527,0.9500381445758157,0.3418372525363652,0.19183725253636508,standoff_est,corridor_end
17,1.18614948041193,0.013850519588070265,0.11385051958807035,0.10000000000000009,0.8500235798860047,0.9500381445758157,0.3361494804119297,0.23614948041192962,standoff_est,corridor_end
18,1.1483731175185203,0.0016268824814797966,0.15162688248147993,0.15000000000000013,0.8000176432805527,0.9500381445758157,0.3483731175185202,0.19837311751852005,standoff_est,corridor_end
19,1.1649660667830513,0.03503393321694892,0.135033933216949,0.10000000000000009,0.8500235798860047,0.9500381445758157,0.31496606678305106,0.21496606678305097,standoff_est,corridor_end
20,1.0761105827633186,0.023889417236681476,0.22388941723668165,0.20000000000000018,0.7500125736661709,0.9500381445758157,0.3261105827633185,0.12611058276331832,standoff_est,corridor_end
21,1.1581031627096914,0.0418968372903088,0.14189683729030889,0.10000000000000009,0.8500235798860047,0.9500381445758157,0.3081031627096912,0.2081031627096911,standoff_est,corridor_end
22,1.1274007884428576,0.022599211557142507,0.17259921155714264,0.15000000000000013,0.8000176432805527,0.9500381445758157,0.32740078844285747,0.17740078844285734,standoff_est,corridor_end
23,1.0100075138833478,0.03999248611665229,0.2899924861166525,0.2500000000000002,0.7000078566784489,0.9500381445758157,0.3100075138833477,0.06000751388334746,standoff_est,corridor_end
24,1.1778790710983686,0.02212092890163153,0.12212092890163162,0.10000000000000009,0.8500235798860047,0.9500381445758157,0.32787907109836845,0.22787907109836836,standoff_est,corridor_end
25,1.270849909301429,0.02915009069857133,0.02915009069857133,0.0,0.9500381445758157,0.9500381445758157,0.32084990930142865,0.32084990930142865,standoff_est,corridor_end
26,1.135804820973293,0.014195179026707194,0.16419517902670733,0.15000000000000013,0.8000176432805527,0.9500381445758157,0.3358048209732928,0.18580482097329265,standoff_est,corridor_end
27,1.0339351187337562,0.016064881266243836,0.26606488126624406,0.2500000000000002,0.7000078566784489,0.9500381445758157,0.33393511873375614,0.08393511873375592,standoff_est,corridor_end
28,1.081979695865951,0.01802030413404898,0.21802030413404916,0.20000000000000018,0.7500125736661709,0.9500381445758157,0.331979695865951,0.13197969586595082,standoff_est,corridor_end
29,1.0668597399437618,0.03314026005623827,0.23314026005623845,0.20000000000000018,0.7500125736661709,0.9500381445758157,0.3168597399437617,0.11685973994376153,standoff_est,corridor_end
