target_index,target_x_true,target_y_true,x_hat,y_hat,rms_residual_m,n_vantages_used,err_x,err_y
0,1.0,-0.075,1.0092114959091103,-0.05382949599734928,0.016804014827695817,5,0.009211495909110301,0.02117050400265072
1,1.0,0.0,1.0049861965662974,2.3265969235450865e-05,0.018037811868443304,5,0.004986196566297396,2.3265969235450865e-05
2,1.0,0.075,1.0092010132128573,0.0538291812475774,0.016784174731808793,5,0.009201013212857267,-0.021170818752422597
3,1.0,0.15,1.0187828647461161,0.12127524759661892,0.015779430831221665,5,0.018782864746116124,-0.02872475240338107
4,1.1,-0.15,1.084389068609552,-0.2092649916066236,0.008290309752756988,5,-0.015610931390448002,-0.0592649916066236
5,1.1,-0.075,1.0921540642040521,-0.14138148132518508,0.009550368770602266,5,-0.007845935795947945,-0.06638148132518508
6,1.1,0.0,1.0926873814471203,-5.41403232773293e-06,0.0020605356618082576,5,-0.0073126185528797905,-5.41403232773293e-06
7,1.1,0.075,1.092608556343076,0.08809652978602239,0.00360374612571681,5,-0.007391443656924013,0.013096529786022396
8,1.1,0.15,1.090180226875929,0.21488832001928307,0.009674098187248875,5,-0.009819773124071007,0.06488832001928307
9,1.2,-0.15,1.224557812056271,-0.12499926209478962,0.0037364474857634893,5,0.024557812056271056,0.025000737905210374
10,1.2,-0.075,1.221105588404349,-0.07668303071951785,0.0020835082761578505,5,0.02110558840434895,-0.00168303071951785
11,1.2,0.0,1.222028811638096,-1.571999991900469e-05,0.0022707711775586756,5,0.022028811638096002,-1.571999991900469e-05
12,1.2,0.075,1.2210973152543794,0.07665670156851895,0.0020791627066858104,5,0.021097315254379412,0.0016567015685189507
