episode,target_x,stop_sensor_x,d_horiz_est_stop,n_steps,reason,episode_valid,bar_x_pred,grasp_center_x_actual,align_error_x,aligned,bar_z_gain_m,grasp_lift_success,advance_ik_ok,lift_ik_ok,grasp_pose_peak_idx
0,1.1268428284417602,0.725,nan,1,open_fixed,True,1.075,1.0750002043786426,-0.0518438441214184,False,2.384185791015625e-07,False,True,True,19.0
1,1.1015341648072436,0.725,nan,1,open_fixed,True,1.075,1.0750002043786426,-0.026534281438312934,False,-0.030000120401382446,False,True,True,19.0
2,1.0226869503527662,0.725,nan,1,open_fixed,True,1.075,1.0750002043786426,0.05231205397275884,False,2.086162567138672e-07,False,True,True,19.0
3,1.0462508693926684,0.725,nan,1,open_fixed,True,1.075,1.0750002043786426,0.028748192125835015,False,-15036.38675764203,False,True,True,19.0
4,1.0320450717521008,0.725,nan,1,open_fixed,True,1.075,1.0750002043786426,0.04295388632444341,False,0.0,False,True,True,19.0
5,1.0210500781342988,0.725,nan,1,open_fixed,True,1.075,1.0750002043786426,0.05394891672758062,False,2.086162567138672e-07,False,True,True,19.0
6,1.1454043529568543,0.725,nan,1,open_fixed,True,1.075,1.0750002043786426,-0.07040449208589594,False,0.0,False,True,True,19.0
7,1.0518935945491499,0.725,nan,1,open_fixed,True,1.075,1.0750002043786426,0.023105420404948784,False,9.706616401672363e-05,False,True,True,19.0
8,1.0763240692363187,0.725,nan,1,open_fixed,True,1.075,1.0750002043786426,-0.0013250929770092235,True,0.061440736055374146,True,True,True,21.0
9,1.1453601743861814,0.725,nan,1,open_fixed,True,1.075,1.0750002043786426,-0.07036038464876215,False,0.0,False,True,True,19.0
10,1.1005112172132308,0.725,nan,1,open_fixed,True,1.075,1.0750002043786426,-0.02551134652467768,False,0.0023310482501983643,False,True,True,19.0
11,1.0978241922728436,0.725,nan,1,open_fixed,True,1.075,1.0750002043786426,-0.022825203603229927,False,0.06222584843635559,True,True,True,19.0
12,1.0876980152190554,0.725,nan,1,open_fixed,True,1.075,1.0750002043786426,-0.012698136037311958,True,0.06155651807785034,True,True,True,19.0
13,1.018315554530683,0.725,nan,1,open_fixed,True,1.075,1.0750002043786426,0.05668429308561285,False,-2.086162567138672e-07,False,True,True,19.0
14,1.0677511070984784,0.725,nan,1,open_fixed,True,1.075,1.0750002043786426,0.007247962290324761,True,0.06015130877494812,True,True,True,19.0
15,1.0547566673150635,0.725,nan,1,open_fixed,True,1.075,1.0750002043786426,0.02024237089780767,False,0.003581136465072632,False,True,True,19.0
16,1.0930510210449116,0.725,nan,1,open_fixed,True,1.075,1.0750002043786426,-0.01805122918458979,True,-0.029999971389770508,False,True,True,19.0
17,1.0672478557395788,0.725,nan,1,open_fixed,True,1.075,1.0750002043786426,0.007751144701518609,True,0.061602383852005005,True,True,True,19.0
18,1.0870646592546869,0.725,nan,1,open_fixed,True,1.075,1.0750002043786426,-0.012064777081928657,True,0.06209319829940796,True,True,True,19.0
19,1.1294727034602832,0.725,nan,1,open_fixed,True,1.075,1.0750002043786426,-0.05447288579317133,False,-5.960464477539063e-08,False,True,True,19.0
20,1.0988468985283415,0.725,nan,1,open_fixed,True,1.075,1.0750002043786426,-0.023847065633259223,False,0.0036025643348693848,False,True,True,19.0
21,1.0580929356047282,0.725,nan,1,open_fixed,True,1.075,1.0750002043786426,0.016906060511149956,True,0.061041027307510376,True,True,True,20.0
22,1.0230085147267927,0.725,nan,1,open_fixed,True,1.075,1.0750002043786426,0.05199138098386724,False,-2.086162567138672e-07,False,True,True,19.0
23,1.1226163649239311,0.725,nan,1,open_fixed,True,1.075,1.0750002043786426,-0.04761656350465815,False,0.0,False,True,True,19.0
24,1.0759257499944372,0.725,nan,1,open_fixed,True,1.075,1.0750002043786426,-0.0009266955313305125,True,0.06103351712226868,True,True,True,19.0
25,1.0315535684161508,0.725,nan,1,open_fixed,True,1.075,1.0750002043786426,0.043445386225261284,False,1.4901161193847656e-07,False,True,True,19.0
26,1.0630837754089069,0.725,nan,1,open_fixed,True,1.075,1.0750002043786426,0.011915244394816948,True,0.060144513845443726,True,True,True,19.0
27,1.140117006101498,0.725,nan,1,open_fixed,True,1.075,1.0750002043786426,-0.06511720246645014,False,0.0,False,True,True,19.0
28,1.0390178322451131,0.725,nan,1,open_fixed,True,1.075,1.0750002043786426,0.03598121576932867,False,0.0005953609943389893,False,True,True,20.0
29,1.0128207481102045,0.725,nan,1,open_fixed,True,1.075,1.0750002043786426,0.06217912607816656,False,-2.086162567138672e-07,False,True,True,19.0
