episode,drift,peak_idx,phase,posture_violation,range_est,sensor_pose_violation,sensor_x,sensor_y,stationarity_ok,step,waveform_tag
0,0.007938063785353354,30.0,vantage,False,0.5833319785879489,False,0.5999960021394904,-0.15005945852825686,True,0,ep000_v0
0,0.018852342323048506,29.0,vantage,False,0.5661274499205324,False,0.5999973413369495,-0.07520637018598755,True,1,ep000_v1
0,0.0030821557551711227,29.0,vantage,False,0.5661274499205324,False,0.5999997946343282,-0.00011364817998411109,True,2,ep000_v2
0,0.010825624703634403,29.0,vantage,False,0.5661274499205324,False,0.6000036213170103,0.07506928164335265,True,3,ep000_v3
0,0.04058335580387797,30.0,vantage,False,0.5833319785879489,False,0.6000102046531763,0.15008513033238582,True,4,ep000_v4
0,0.0037610496375006038,29.0,approach,False,0.5332919365165059,False,0.6,0.0,True,0,ep000_s000
0,0.029407674928783944,26.0,approach,False,0.4781469608437572,False,0.6499999999298192,-2.6491672077195068e-06,True,1,ep000_s001
0,0.02926082239162732,23.0,approach,False,0.4221097810934275,False,0.6999999998596382,-5.2983344154390135e-06,True,2,ep000_s002
0,0.02516845891763544,21.0,approach,False,0.3840634402220124,False,0.7499999997894573,-7.94750162315852e-06,True,3,ep000_s003
0,0.021968314610449017,18.0,approach,False,0.3254792642332621,False,0.7999999997192764,-1.0596668830878027e-05,True,4,ep000_s004
1,0.07766622419212833,31.0,vantage,False,0.6005365072553653,False,0.5999957934818374,-0.15005880768331775,False,0,ep001_v0
1,0.12797212424008025,28.0,vantage,False,0.5489229212531159,False,0.5999973413369495,-0.07520637018598755,False,1,ep001_v1
1,0.06466324772282979,27.0,vantage,False,0.5317183925856995,False,0.5999997946343282,-0.00011364817998411109,False,2,ep001_v2
1,0.12020279389022465,26.0,vantage,False,0.514513863918283,False,0.6000036213170103,0.07506928164335265,False,3,ep001_v3
1,0.0040359842243045735,27.0,vantage,False,0.5317183925856995,False,0.6000102046531763,0.15008513033238582,True,4,ep001_v4
1,0.06130651420880736,27.0,approach,False,0.49661297708972535,False,0.6,0.0,False,0,ep001_s000
1,0.17777561522841198,24.0,approach,False,0.4409088628101414,False,0.6484277986674772,0.0124397876277002,False,1,ep001_s001
1,0.03675059262145177,24.0,approach,False,0.4409088628101414,False,0.6968555973349545,0.0248795752554004,True,2,ep001_s002
1,0.006529729612586026,19.0,approach,False,0.34525461820073744,False,0.7452833960024318,0.0373193628831006,True,3,ep001_s003
2,0.06831390424119481,28.0,vantage,False,0.5489229212531159,False,0.5999957934818374,-0.15005880768331775,False,0,ep002_v0
2,0.04752369019204581,25.0,vantage,False,0.4973093352508666,False,0.5999973413369495,-0.07520637018598755,True,1,ep002_v1
2,0.06124277830267679,24.0,vantage,False,0.48010480658345017,False,0.5999997946343282,-0.00011364817998411109,False,2,ep002_v2
2,0.1107043552921621,26.0,vantage,False,0.514513863918283,False,0.6000036213170103,0.07506928164335265,False,3,ep002_v3
2,0.10305108494003008,24.0,vantage,False,0.48010480658345017,False,0.6000102046531763,0.15008513033238582,False,4,ep002_v4
2,0.04049139210982461,24.0,approach,False,0.4409088628101414,False,0.6,0.0,True,0,ep002_s000
2,0.021789103820628167,21.0,approach,False,0.3840634402220124,False,0.6492073653449629,0.008867648831981326,True,1,ep002_s001
2,0.005481437553158145,19.0,approach,False,0.34525461820073744,False,0.6984147306899259,0.017735297663962653,True,2,ep002_s002
3,0.09195279532896472,26.0,vantage,False,0.514513863918283,False,0.5999957934818374,-0.15005880768331775,False,0,ep003_v0
3,0.007861393354313349,26.0,vantage,False,0.514513863918283,False,0.5999973413369495,-0.07520637018598755,True,1,ep003_v1
3,0.04059172111972772,25.0,vantage,False,0.4973093352508666,False,0.5999997946343282,-0.00011364817998411109,True,2,ep003_v2
3,0.008745248933452762,26.0,vantage,False,0.514513863918283,False,0.6000036213170103,0.07506928164335265,True,3,ep003_v3
3,0.09647267510089004,28.0,vantage,False,0.5489229212531159,False,0.6000102046531763,0.15008513033238582,False,4,ep003_v4
3,0.051976011211862884,25.0,approach,False,0.4595830446477098,False,0.6,0.0,False,0,ep003_s000
3,0.04733086558974057,22.0,approach,False,0.40316832824303833,False,0.6497445989720587,-0.00504726392306304,True,1,ep003_s001
3,0.010670146009722145,19.0,approach,False,0.34525461820073744,False,0.6994891979441175,-0.01009452784612608,True,2,ep003_s002
4,0.004070443025024501,30.0,vantage,False,0.5833319785879489,False,0.5999957934818374,-0.15005880768331775,True,0,ep004_v0
4,0.006206975844233704,29.0,vantage,False,0.5661274499205324,False,0.5999973413369495,-0.07520637018598755,True,1,ep004_v1
4,0.02163023934409103,28.0,vantage,False,0.5489229212531159,False,0.5999997946343282,-0.00011364817998411109,True,2,ep004_v2
4,0.01857119465780182,27.0,vantage,False,0.5317183925856995,False,0.6000036213170103,0.07506928164335265,True,3,ep004_v3
4,0.22488590305688946,28.0,vantage,False,0.5489229212531159,False,0.6000102046531763,0.15008513033238582,False,4,ep004_v4
4,0.06536796084959676,28.0,approach,False,0.5149916246669013,False,0.6,0.0,False,0,ep004_s000
4,0.1275493781874394,25.0,approach,False,0.4595830446477098,False,0.6494199374884515,0.0075940620643725545,False,1,ep004_s001
4,0.007803171382921239,22.0,approach,False,0.40316832824303833,False,0.698839874976903,0.015188124128745109,True,2,ep004_s002
4,0.019902577018076243,20.0,approach,False,0.3647694380638052,False,0.7482598124653546,0.022782186193117664,True,3,ep004_s003
4,0.01035435757175751,17.0,approach,False,0.30539276860471054,False,0.7976797499538061,0.030376248257490218,True,4,ep004_s004
5,0.059790421586330786,31.0,vantage,False,0.6005365072553653,False,0.5999957934818374,-0.15005880768331775,False,0,ep005_v0
5,0.013018653390018757,30.0,vantage,False,0.5833319785879489,False,0.5999973413369495,-0.07520637018598755,True,1,ep005_v1
5,0.07761043914796067,29.0,vantage,False,0.5661274499205324,False,0.5999997946343282,-0.00011364817998411109,False,2,ep005_v2
5,0.0655623783459828,30.0,vantage,False,0.5833319785879489,False,0.6000036213170103,0.07506928164335265,False,3,ep005_v3
5,0.13300735652496082,29.0,vantage,False,0.5661274499205324,False,0.6000102046531763,0.15008513033238582,False,4,ep005_v4
5,0.0947143706819878,29.0,approach,False,0.5332919365165059,False,0.6,0.0,False,0,ep005_s000
5,0.06160790627830831,26.0,approach,False,0.4781469608437572,False,0.649749030481104,0.005003395466099088,False,1,ep005_s001
5,0.05096270275903784,23.0,approach,False,0.4221097810934275,False,0.699498060962208,0.010006790932198176,False,2,ep005_s002
5,0.025239396332343116,21.0,approach,False,0.3840634402220124,False,0.749247091443312,0.015010186398297265,True,3,ep005_s003
5,0.03654345218567529,18.0,approach,False,0.3254792642332621,False,0.798996121924416,0.020013581864396352,True,4,ep005_s004
6,0.01947377829725824,33.0,vantage,False,0.6349455645901982,False,0.5999957934818374,-0.15005880768331775,True,0,ep006_v0
6,0.11127692044096266,31.0,vantage,False,0.6005365072553653,False,0.5999973413369495,-0.07520637018598755,False,1,ep006_v1
