episode,target_x,target_y,x_hat,y_hat,n_vantages_used,stop_x,stop_y,stop_dist_2d,stop_err_2d,n_steps,reason,episode_valid
0,1.1357338389868354,0.004989329237131301,nan,nan,0,0.9000000000000002,0.0,0.23578663289022056,0.11421336710977942,7,corridor_end,True
1,1.095003821605418,0.07243080942930685,nan,nan,0,0.9000000000000002,0.0,0.20802094268438984,0.14197905731561014,7,corridor_end,True
2,1.038073848744799,0.06964197101461064,nan,nan,0,0.9000000000000002,0.0,0.15464278784993954,0.19535721215006044,7,corridor_end,True
3,1.03948867116702,-0.12055925807833684,nan,nan,0,0.9000000000000002,0.0,0.18436817537834443,0.16563182462165554,7,corridor_end,True
4,1.1136474952909974,0.05830697756211789,nan,nan,0,0.9000000000000002,0.0,0.2214609579057807,0.1285390420942193,7,corridor_end,True
5,1.1302286162533788,0.06779468038407005,nan,nan,0,0.9000000000000002,0.0,0.2400027800470729,0.10999721995292708,7,corridor_end,True
6,1.1767431811253772,-0.06063972927850762,nan,nan,0,0.9000000000000002,0.0,0.2833089569116443,0.06669104308835566,7,corridor_end,True
7,1.1682040421213826,-0.11608711575418318,nan,nan,0,0.9000000000000002,0.0,0.29224925432646254,0.05775074567353744,7,corridor_end,True
8,1.012936852010647,0.007175178908508356,nan,nan,0,0.9000000000000002,0.0,0.11316455158062451,0.23683544841937548,7,corridor_end,True
9,1.125028849855684,0.13910504428060524,nan,nan,0,0.9000000000000002,0.0,0.2645528238588297,0.08544717614117026,7,corridor_end,True
10,1.1280967141189895,-0.11358921914084255,nan,nan,0,0.9000000000000002,0.0,0.2548148773068524,0.09518512269314755,7,corridor_end,True
11,1.000910441835874,-0.059252630232975154,nan,nan,0,0.9000000000000002,0.0,0.11702047453773615,0.23297952546226383,7,corridor_end,True
12,1.0186530006550187,0.09485302281993857,nan,nan,0,0.9000000000000002,0.0,0.151906650619779,0.19809334938022097,7,corridor_end,True
13,1.0158103084730379,0.1063952875944453,nan,nan,0,0.9000000000000002,0.0,0.15726406064617834,0.19273593935382163,7,corridor_end,True
14,1.060024588963636,-0.04913158729549699,nan,nan,0,0.9000000000000002,0.0,0.16739707865776987,0.1826029213422301,7,corridor_end,True
15,1.0553088064763554,-0.0938674887971682,nan,nan,0,0.9000000000000002,0.0,0.18147157028635763,0.16852842971364235,7,corridor_end,True
16,1.088557561648958,-0.01735622230823311,nan,nan,0,0.9000000000000002,0.0,0.18935467384728932,0.16064532615271065,7,corridor_end,True
17,1.0236898654677056,0.11124703556597546,nan,nan,0,0.9000000000000002,0.0,0.1663583052980417,0.1836416947019583,7,corridor_end,True
18,1.1065741419904698,0.04242834757094133,nan,nan,0,0.9000000000000002,0.0,0.21088632202373692,0.13911367797626306,7,corridor_end,True
19,1.1707460919722674,-0.14091663183340564,nan,nan,0,0.9000000000000002,0.0,0.3052227767476191,0.04477722325238087,7,corridor_end,True
20,1.051967189810902,-0.07307692397361973,nan,nan,0,0.9000000000000002,0.0,0.16862462333973896,0.18137537666026102,7,corridor_end,True
21,1.0877329499402255,-0.11297157203671018,nan,nan,0,0.9000000000000002,0.0,0.219103255525117,0.13089674447488298,7,corridor_end,True
22,1.1761505612307048,0.14207067184045266,nan,nan,0,0.9000000000000002,0.0,0.3105530683558459,0.03944693164415408,7,corridor_end,True
23,1.0430050562801758,0.14280229077686538,nan,nan,0,0.9000000000000002,0.0,0.2020963640761916,0.14790363592380837,7,corridor_end,True
24,1.0517763360384138,-0.023833839877582697,nan,nan,0,0.9000000000000002,0.0,0.1536362851170116,0.19636371488298837,7,corridor_end,True
25,1.0412606571743812,0.019201106197685697,nan,nan,0,0.9000000000000002,0.0,0.14255965679164914,0.20744034320835084,7,corridor_end,True
26,1.1775706965903447,-0.032243510646598444,nan,nan,0,0.9000000000000002,0.0,0.2794371764537897,0.0705628235462103,7,corridor_end,True
27,1.1349933868483482,-0.06163435232555889,nan,nan,0,0.9000000000000002,0.0,0.24294173220969761,0.10705826779030236,7,corridor_end,True
28,1.1316832758023097,-0.05867054648997287,nan,nan,0,0.9000000000000002,0.0,0.23899659686263536,0.11100340313736462,7,corridor_end,True
29,1.1014773994006977,-0.1429534586930537,nan,nan,0,0.9000000000000002,0.0,0.24704014617380463,0.10295985382619535,7,corridor_end,True
