episode,drift,peak_idx,phase,posture_violation,range_est,sensor_pose_violation,sensor_x,sensor_y,stationarity_ok,step,waveform_tag
0,0.007938076213855214,30.0,vantage,False,inf,False,0.5999960021394904,-0.15005945852825686,True,0,ep000_v0
0,0.018852299110318847,29.0,vantage,False,inf,False,0.5999973413369495,-0.07520637018598755,True,1,ep000_v1
0,0.003082179224815743,29.0,vantage,False,inf,False,0.5999997946343282,-0.00011364817998411109,True,2,ep000_v2
0,0.010825573472926637,29.0,vantage,False,inf,False,0.6000036213170103,0.07506928164335265,True,3,ep000_v3
0,0.04058323387984258,30.0,vantage,False,inf,False,0.6000102046531763,0.15008513033238582,True,4,ep000_v4
0,0.003761062256932761,29.0,approach,False,0.5332919365165059,False,0.6,0.0,True,0,ep000_s000
0,0.029393508368947607,26.0,approach,False,0.4781469608437572,False,0.65,0.0,True,1,ep000_s001
0,0.02926083311857465,23.0,approach,False,0.4221097810934275,False,0.7000000000000001,0.0,True,2,ep000_s002
0,0.02515545791962884,21.0,approach,False,0.3840634402220124,False,0.7500000000000001,0.0,True,3,ep000_s003
0,0.02196841448046247,18.0,approach,False,0.3254792642332621,False,0.8000000000000002,0.0,True,4,ep000_s004
0,0.02817905599848541,16.0,approach,False,0.28492933580031876,False,0.8500000000000002,0.0,True,5,ep000_s005
0,0.04905239806671868,13.0,approach,False,0.22021949489159176,False,0.9000000000000002,0.0,True,6,ep000_s006
1,0.06543388141622589,31.0,vantage,False,inf,False,0.5999957934818374,-0.15005880768331775,False,0,ep001_v0
1,0.05933967486825219,28.0,vantage,False,inf,False,0.5999973413369495,-0.07520637018598755,False,1,ep001_v1
1,0.006150455330556748,27.0,vantage,False,inf,False,0.5999997946343282,-0.00011364817998411109,True,2,ep001_v2
1,0.023253987181924736,26.0,vantage,False,inf,False,0.6000036213170103,0.07506928164335265,True,3,ep001_v3
1,0.17548961816028882,27.0,vantage,False,inf,False,0.6000102046531763,0.15008513033238582,False,4,ep001_v4
1,0.038122014566416666,27.0,approach,False,0.49661297708972535,False,0.6,0.0,True,0,ep001_s000
1,0.002267948471114267,24.0,approach,False,0.4409088628101414,False,0.65,0.0,True,1,ep001_s001
1,0.06878660411532164,24.0,approach,False,0.4409088628101414,False,0.7000000000000001,0.0,False,2,ep001_s002
1,0.012828872332086088,19.0,approach,False,0.34525461820073744,False,0.7500000000000001,0.0,True,3,ep001_s003
1,0.01594944516403379,16.0,approach,False,0.28492933580031876,False,0.8000000000000002,0.0,True,4,ep001_s004
1,0.0181117295626401,14.0,approach,False,0.24248849005002188,False,0.8500000000000002,0.0,True,5,ep001_s005
1,0.07361060386306593,12.0,approach,False,0.19693799955115812,False,0.9000000000000002,0.0,False,6,ep001_s006
2,0.039590189154080226,28.0,vantage,False,inf,False,0.5999957934818374,-0.15005880768331775,True,0,ep002_v0
2,0.021193934060674543,25.0,vantage,False,inf,False,0.5999973413369495,-0.07520637018598755,True,1,ep002_v1
2,0.016968168038619634,24.0,vantage,False,inf,False,0.5999997946343282,-0.00011364817998411109,True,2,ep002_v2
2,0.08891050546974212,26.0,vantage,False,inf,False,0.6000036213170103,0.07506928164335265,False,3,ep002_v3
2,0.009973910650445051,24.0,vantage,False,inf,False,0.6000102046531763,0.15008513033238582,True,4,ep002_v4
2,0.06309840672259372,24.0,approach,False,0.4409088628101414,False,0.6,0.0,False,0,ep002_s000
2,0.00918612211503437,21.0,approach,False,0.3840634402220124,False,0.65,0.0,True,1,ep002_s001
2,0.0037722753502948203,19.0,approach,False,0.34525461820073744,False,0.7000000000000001,0.0,True,2,ep002_s002
2,0.038216617262536695,16.0,approach,False,0.28492933580031876,False,0.7500000000000001,0.0,True,3,ep002_s003
2,0.0100939895107582,14.0,approach,False,0.24248849005002188,False,0.8000000000000002,0.0,True,4,ep002_s004
2,0.10265563365483492,11.0,approach,False,0.17223390205604708,False,0.8500000000000002,0.0,False,5,ep002_s005
2,0.0647730982185087,21.0,approach,False,0.3840634402220124,False,0.9000000000000002,0.0,False,6,ep002_s006
3,0.04549988866379521,26.0,vantage,False,inf,False,0.5999957934818374,-0.15005880768331775,True,0,ep003_v0
3,0.021691839456294066,26.0,vantage,False,inf,False,0.5999973413369495,-0.07520637018598755,True,1,ep003_v1
3,0.016763664933900545,25.0,vantage,False,inf,False,0.5999997946343282,-0.00011364817998411109,True,2,ep003_v2
3,0.22621219383411761,26.0,vantage,False,inf,False,0.6000036213170103,0.07506928164335265,False,3,ep003_v3
3,0.09113715971083605,28.0,vantage,False,inf,False,0.6000102046531763,0.15008513033238582,False,4,ep003_v4
3,0.12710129427727293,25.0,approach,False,0.4595830446477098,False,0.6,0.0,False,0,ep003_s000
3,0.06784426522229915,22.0,approach,False,0.40316832824303833,False,0.65,0.0,False,1,ep003_s001
3,0.021879529416582475,20.0,approach,False,0.3647694380638052,False,0.7000000000000001,0.0,True,2,ep003_s002
3,0.00239542957334764,17.0,approach,False,0.30539276860471054,False,0.7500000000000001,0.0,True,3,ep003_s003
3,0.05941066069287361,15.0,approach,False,0.2640013282097407,False,0.8000000000000002,0.0,False,4,ep003_s004
3,0.04656051088054548,19.0,approach,False,0.34525461820073744,False,0.8500000000000002,0.0,True,5,ep003_s005
3,0.01111013842794985,19.0,approach,False,0.34525461820073744,False,0.9000000000000002,0.0,True,6,ep003_s006
4,0.06497706423057185,30.0,vantage,False,inf,False,0.5999957934818374,-0.15005880768331775,False,0,ep004_v0
4,0.08463120751190291,29.0,vantage,False,inf,False,0.5999973413369495,-0.07520637018598755,False,1,ep004_v1
4,0.094714110016488,28.0,vantage,False,inf,False,0.5999997946343282,-0.00011364817998411109,False,2,ep004_v2
4,0.028783193876556694,27.0,vantage,False,inf,False,0.6000036213170103,0.07506928164335265,True,3,ep004_v3
4,0.05094010660150504,28.0,vantage,False,inf,False,0.6000102046531763,0.15008513033238582,False,4,ep004_v4
4,0.06492946983620984,28.0,approach,False,0.5149916246669013,False,0.6,0.0,False,0,ep004_s000
4,0.062436942659042746,25.0,approach,False,0.4595830446477098,False,0.65,0.0,False,1,ep004_s001
4,0.045244208056673646,25.0,approach,False,0.4595830446477098,False,0.7000000000000001,0.0,True,2,ep004_s002
4,0.07187486055168794,20.0,approach,False,0.3647694380638052,False,0.7500000000000001,0.0,False,3,ep004_s003
4,0.027279090463267007,17.0,approach,False,0.30539276860471054,False,0.8000000000000002,0.0,True,4,ep004_s004
4,0.04293529168067167,15.0,approach,False,0.2640013282097407,False,0.8500000000000002,0.0,True,5,ep004_s005
4,0.07215597969364684,12.0,approach,False,0.19693799955115812,False,0.9000000000000002,0.0,False,6,ep004_s006
5,0.09027864703619158,31.0,vantage,False,inf,False,0.5999957934818374,-0.15005880768331775,False,0,ep005_v0
5,0.029314939125654783,30.0,vantage,False,inf,False,0.5999973413369495,-0.07520637018598755,True,1,ep005_v1
5,0.03961563237687713,29.0,vantage,False,inf,False,0.5999997946343282,-0.00011364817998411109,True,2,ep005_v2
5,0.09934412617364752,30.0,vantage,False,inf,False,0.6000036213170103,0.07506928164335265,False,3,ep005_v3
5,0.01885986621108512,29.0,vantage,False,inf,False,0.6000102046531763,0.15008513033238582,True,4,ep005_v4
5,0.0064125328056843615,29.0,approach,False,0.5332919365165059,False,0.6,0.0,True,0,ep005_s000
5,0.09371328439181341,26.0,approach,False,0.4781469608437572,False,0.65,0.0,False,1,ep005_s001
5,0.04054393481221471,23.0,approach,False,0.4221097810934275,False,0.7000000000000001,0.0,True,2,ep005_s002
5,0.031081561204673532,21.0,approach,False,0.3840634402220124,False,0.7500000000000001,0.0,True,3,ep005_s003
5,0.0020802739991232955,18.0,approach,False,0.3254792642332621,False,0.8000000000000002,0.0,True,4,ep005_s004
5,0.0034394107913562296,16.0,approach,False,0.28492933580031876,False,0.8500000000000002,0.0,True,5,ep005_s005
5,0.03770293783244661,13.0,approach,False,0.22021949489159176,False,0.9000000000000002,0.0,True,6,ep005_s006
6,0.01050738735052977,33.0,vantage,False,inf,False,0.5999957934818374,-0.15005880768331775,True,0,ep006_v0
6,0.02995187194590681,31.0,vantage,False,inf,False,0.5999973413369495,-0.07520637018598755,True,1,ep006_v1
6,0.06658200073956543,33.0,vantage,False,inf,False,0.5999997946343282,-0.00011364817998411109,False,2,ep006_v2
6,0.07196217737671272,32.0,vantage,False,inf,False,0.6000036213170103,0.07506928164335265,False,3,ep006_v3
6,0.014798054575045762,33.0,vantage,False,inf,False,0.6000102046531763,0.15008513033238582,True,4,ep006_v4
6,0.00801195761773046,33.0,approach,False,0.6058513596524857,False,0.6,0.0,True,0,ep006_s000
6,0.01344001031326644,30.0,approach,False,0.5515217105820326,False,0.65,0.0,True,1,ep006_s001
6,0.03760079036999673,26.0,approach,False,0.4781469608437572,False,0.7000000000000001,0.0,True,2,ep006_s002
6,0.08525533589862526,23.0,approach,False,0.4221097810934275,False,0.7500000000000001,0.0,False,3,ep006_s003
6,0.11311774940213146,21.0,approach,False,0.3840634402220124,False,0.8000000000000002,0.0,False,4,ep006_s004
6,0.014562817668023417,18.0,approach,False,0.3254792642332621,False,0.8500000000000002,0.0,True,5,ep006_s005
6,0.06399856690606313,15.0,approach,False,0.2640013282097407,False,0.9000000000000002,0.0,False,6,ep006_s006
7,0.01835946274134953,32.0,vantage,False,inf,False,0.5999957934818374,-0.15005880768331775,True,0,ep007_v0
7,0.013453076649118031,31.0,vantage,False,inf,False,0.5999973413369495,-0.07520637018598755,True,1,ep007_v1
7,0.1408725823807097,33.0,vantage,False,inf,False,0.5999997946343282,-0.00011364817998411109,False,2,ep007_v2
7,0.05661340642359706,34.0,vantage,False,inf,False,0.6000036213170103,0.07506928164335265,False,3,ep007_v3
7,0.06903916705898729,35.0,vantage,False,inf,False,0.6000102046531763,0.15008513033238582,False,4,ep007_v4
7,0.05023174942152311,33.0,approach,False,0.6058513596524857,False,0.6,0.0,False,0,ep007_s000
7,0.0640534337565955,29.0,approach,False,0.5332919365165059,False,0.65,0.0,False,1,ep007_s001
7,0.05554737758716953,26.0,approach,False,0.4781469608437572,False,0.7000000000000001,0.0,False,2,ep007_s002
7,0.042514502807959875,23.0,approach,False,0.4221097810934275,False,0.7500000000000001,0.0,True,3,ep007_s003
7,0.04491993017639972,21.0,approach,False,0.3840634402220124,False,0.8000000000000002,0.0,True,4,ep007_s004
7,0.020132852861758595,19.0,approach,False,0.34525461820073744,False,0.8500000000000002,0.0,True,5,ep007_s005
