oracle_distance_m,peak_sample_idx,inferred_dist_m,early_energy,ultra_early_energy,early_fraction,peak_amplitude,total_energy,tof_first_ns,n_signal_ways,n_samples_per_sgw,n_elements
0.2,8.0,0.18179,565.6413681648003,226.42761321068784,0.6108507924819807,17.97203763326009,926.191226046993,0.0,2.0,320.0,640.0
0.26842105263157895,11.0,0.24996125,544.5063540776252,9.823463083817435,0.611177462151924,17.97028096516927,890.8370537395114,0.0,2.0,320.0,640.0
0.33684210526315794,15.0,0.34085625,470.2186558786304,11.355826570944393,0.571487975521464,18.96832497914632,822.8182773105937,0.0,2.0,320.0,640.0
0.4052631578947369,19.0,0.43175125,358.19174438134047,8.927838934774657,0.4808932391256086,18.301157633463543,744.8137496402328,0.0,2.0,320.0,640.0
0.4736842105263158,23.0,0.52264625,24.72311199087976,11.479522014441445,0.03571705429744763,17.1025972366333,692.5512763213902,0.0,2.0,320.0,640.0
0.5421052631578948,27.0,0.61354125,22.870645186771927,8.93082570907488,0.035179992188381096,16.255985577901203,651.8891280779899,0.0,2.0,320.0,640.0
0.6105263157894738,31.0,0.70443625,24.878722478634668,9.832131258285568,0.04121581144281115,15.083368142445883,603.9879401339607,0.0,2.0,320.0,640.0
0.6789473684210527,34.0,0.7726075,24.45063302234226,8.70092043375967,0.04414899921718426,13.07558012008667,553.9010871591395,0.0,2.0,320.0,640.0
0.7473684210526317,37.0,0.84077875,22.580084431163655,8.08078702624764,0.0433303803319832,11.646169980367025,521.316996793348,0.0,2.0,320.0,640.0
0.8157894736842106,40.0,0.90895,24.140400255169073,10.007050724108863,0.04886068034758941,10.670884768168131,494.18960776549756,0.0,2.0,320.0,640.0
0.8842105263157896,44.333333333333336,1.0074195833333333,24.145313712696844,8.40818621965659,0.049692902715475884,9.233339468638102,485.4955708721122,0.0,2.0,320.0,640.0
0.9526315789473685,50.0,1.1361875,21.94527887837067,8.419541808977439,0.041445522318792914,10.8042844136556,528.879525745807,0.0,2.0,320.0,640.0
1.0210526315789474,54.0,1.2270825,20.891997747562467,8.351457440946776,0.03708276555886055,12.637987772623697,563.0051921474769,0.0,2.0,320.0,640.0
1.0894736842105264,58.0,1.3179775,24.187841363357176,8.821914497034479,0.04047787130622731,13.894968827565512,597.0255839288546,0.0,2.0,320.0,640.0
1.1578947368421053,62.0,1.4088725,23.187526589385993,9.855013464259505,0.036697461665500385,16.111510753631592,632.0409212485275,0.0,2.0,320.0,640.0
1.2263157894736842,66.0,1.4997675,21.232547578139126,8.926616152155905,0.030681076411362113,17.3051970799764,692.0085803401329,0.0,2.0,320.0,640.0
1.2947368421052632,70.0,1.5906624999999999,21.926187651232606,8.729306833641255,0.030349486722001467,18.177614212036133,721.4316438883956,0.0,2.0,320.0,640.0
1.3631578947368421,73.5,1.6701956249999999,24.71384177681024,10.779127700035273,0.033951977032228624,18.043713569641113,726.8894276483179,0.0,2.0,320.0,640.0
1.431578947368421,75.0,1.70428125,23.729029273001483,9.31497426673072,0.03266860939471912,18.267073313395183,726.8617764708359,0.0,2.0,320.0,640.0
1.5,79.0,1.79517625,22.98404489023902,10.079472807791245,0.03202570408221032,16.8738915125529,717.7572980989216,0.0,2.0,320.0,640.0
