point_index,nominal_distance_m,true_distance_3d_m,target_x_m,target_y_m,target_z_m,peak_sample_idx,early_energy,rx0_early,rx1_early,point_drift,stationarity_ok,waveform_tag
0,0.15,0.25,0.15,0.0,0.45,24.0,27.08848085224939,26.965003445467556,27.12130503342847,0.07984727610562901,False,point_00
1,0.20526315789473684,0.2865884924223575,0.20526315789473684,0.0,0.45,11.0,35.03622638683461,35.03622638683461,29.33779935869918,0.0746223174808199,False,point_01
2,0.2605263157894737,0.32844171662387317,0.2605263157894737,0.0,0.45,14.0,133.99124742410206,133.99124742410206,52.27379009805472,0.07245392155787547,False,point_02
3,0.3157894736842105,0.37379538746452007,0.3157894736842105,0.0,0.45,17.0,268.3839748147419,268.3839748147419,117.99122721922274,0.0036252566980641628,True,point_03
4,0.3710526315789474,0.42152112094373406,0.3710526315789474,0.0,0.45,19.0,212.5147889191615,212.5147889191615,208.72082974671443,0.012237399108959667,True,point_04
5,0.4263157894736842,0.4708982399144964,0.4263157894736842,0.0,0.45,22.0,26.22487386748897,26.22487386748897,86.81054865576128,0.0032500229247648,True,point_05
6,0.4815789473684211,0.5214578435007728,0.4815789473684211,0.0,0.45,25.0,27.889984078057793,27.889984078057793,31.597904482774705,0.08035137310864748,False,point_06
7,0.5368421052631579,0.5728869399658012,0.5368421052631579,0.0,0.45,28.0,26.33822508612264,26.33822508612264,31.686030168935513,0.047338199727476896,True,point_07
8,0.5921052631578948,0.624970913450602,0.5921052631578948,0.0,0.45,31.0,25.771919620605097,25.771919620605097,31.766107205292702,0.024512478173771488,True,point_08
9,0.6473684210526316,0.6775587595007367,0.6473684210526316,0.0,0.45,35.0,26.510133616996733,26.510133616996733,31.308551881986116,0.13125138066350067,False,point_09
10,0.7026315789473685,0.730541672825084,0.7026315789473685,0.0,0.45,38.0,27.209861308962036,27.209861308962036,31.291516405586407,0.07791234746685781,False,point_10
11,0.7578947368421053,0.7838395448897459,0.7578947368421053,0.0,0.45,41.0,27.44118340203479,27.44118340203479,31.278984585385402,0.1430537501628035,False,point_11
12,0.8131578947368422,0.8373922389017308,0.8131578947368422,0.0,0.45,44.0,26.207039161579377,26.207039161579377,30.036302326085057,0.015123302501314207,True,point_12
13,0.8684210526315791,0.8911538164950762,0.8684210526315791,0.0,0.45,47.0,27.548910805156133,27.548910805156133,31.312296126737067,0.011436641835515645,True,point_13
14,0.9236842105263159,0.9450886311746763,0.9236842105263159,0.0,0.45,50.0,25.944760599184708,25.944760599184708,30.220666435756076,0.03957362994559487,True,point_14
15,0.9789473684210527,0.999168629480782,0.9789473684210527,0.0,0.45,53.0,24.985904881103423,24.985904881103423,33.010386844920205,0.0025941510947672442,True,point_15
16,1.0342105263157895,1.0533714505066019,1.0342105263157895,0.0,0.45,56.0,25.281774463103417,25.281774463103417,31.236522036825605,0.010532975603597458,True,point_16
17,1.0894736842105264,1.1076790638931737,1.0894736842105264,0.0,0.45,59.0,26.71087532363326,26.71087532363326,29.433350134398633,0.028164554944060987,True,point_17
18,1.1447368421052633,1.162076777873618,1.1447368421052633,0.0,0.45,62.0,26.619622650959734,26.619622650959734,30.66703261370156,0.04382059254873976,True,point_18
19,1.2,1.2165525060596438,1.2,0.0,0.45,65.0,24.66187240154274,24.66187240154274,32.176253735677264,0.028808023447298377,True,point_19
