target_distance_m,rtx_repeat_count,amplitude_max_mean,amplitude_mean_mean,amplitude_max_std_across_repeats,primary_sgw_peak_mean,primary_sgw_early_energy_mean,ref_sgw_peak_mean,all_sgw_peak_mean_mean,pra_geometry_policy,pra_absorption_label,pra_absorption_value,pra_rir_peak_abs_value,pra_direct_delay_ms,pra_rt60_measured,pra_early_energy_50ms
0.5,5,4822.01044921875,360.69531070128875,0.06207798098420942,4822.01044921875,167.1669143295288,4822.01044921875,4498.532858886719,formal_ur10_fixed_tcp_reference_cond_B,medium_absorption,0.35,1.9659971694674272,1.4583333333333333,0.20984967008151112,7.31266367002885
1.0,5,5171.120185546875,390.5204247277095,0.03305240936454886,5171.120185546875,163.01979354143143,5171.120185546875,5120.278820800781,formal_ur10_fixed_tcp_reference_cond_B,medium_absorption,0.35,0.950091099842624,2.9166666666666665,0.20558661395825456,2.982731547677746
1.5,5,5171.119775390625,393.7537657336001,0.034871687530114846,5171.119775390625,168.39406453132628,5171.119775390625,5120.278444824218,formal_ur10_fixed_tcp_reference_cond_B,medium_absorption,0.35,0.6015978585579022,4.375,0.20649159936663505,1.8555809727448245
2.0,5,5171.104248046875,395.2681536380085,0.0010139921707663666,5171.104248046875,156.29855419397353,5171.104248046875,5120.259301757813,formal_ur10_fixed_tcp_reference_cond_B,medium_absorption,0.35,0.44298676133306203,5.833333333333333,0.217275388488501,1.4996047044579752
2.5,5,5171.1350683593755,395.87120528373725,0.04199311224336037,5171.1350683593755,155.71032369852065,5171.1350683593755,5120.298415527343,formal_ur10_fixed_tcp_reference_cond_B,medium_absorption,0.35,0.3126651401032958,7.291666666666667,0.2193774540473967,1.2950564445717574
3.0,5,5171.1043701171875,396.2311654422409,0.0009455525747576702,5171.1043701171875,156.29855499267578,5171.1043701171875,5120.258972167969,formal_ur10_fixed_tcp_reference_cond_B,medium_absorption,0.35,0.2713204431862574,8.75,0.21814734474218408,1.1431375690499128
