episode,target_x,stop_sensor_x,stop_oracle_horiz_dist,n_steps,reason
0,0.4743427900075762,0.42500000000000004,0.04934279000757613,1,open_fixed
1,0.7992733200739198,0.42500000000000004,0.3742733200739198,1,open_fixed
2,0.7278313576308255,0.42500000000000004,0.30283135763082547,1,open_fixed
3,0.6900033155930607,0.42500000000000004,0.2650033155930607,1,open_fixed
4,0.6226350960615765,0.42500000000000004,0.19763509606157648,1,open_fixed
5,0.4656028065231597,0.42500000000000004,0.040602806523159674,1,open_fixed
6,0.875562437142209,0.42500000000000004,0.450562437142209,1,open_fixed
7,0.9104403317596816,0.42500000000000004,0.4854403317596816,1,open_fixed
8,0.7846534812274624,0.42500000000000004,0.3596534812274623,1,open_fixed
9,0.8281755415877263,0.42500000000000004,0.4031755415877263,1,open_fixed
10,0.9415722409624137,0.42500000000000004,0.5165722409624136,1,open_fixed
11,0.7385704456128797,0.42500000000000004,0.3135704456128796,1,open_fixed
12,1.0784374976270563,0.42500000000000004,0.6534374976270563,1,open_fixed
13,0.5454711400899049,0.42500000000000004,0.1204711400899049,1,open_fixed
14,0.4958270838801364,0.42500000000000004,0.07082708388013637,1,open_fixed
15,0.5799468629327053,0.42500000000000004,0.1549468629327052,1,open_fixed
16,0.7573140471621251,0.42500000000000004,0.3323140471621251,1,open_fixed
17,0.853323874225848,0.42500000000000004,0.42832387422584794,1,open_fixed
18,0.7714750879567942,0.42500000000000004,0.34647508795679416,1,open_fixed
19,0.8074264780299442,0.42500000000000004,0.3824264780299441,1,open_fixed
20,0.6149062626538568,0.42500000000000004,0.1899062626538568,1,open_fixed
21,0.7925568525376647,0.42500000000000004,0.3675568525376647,1,open_fixed
22,0.7260350416261916,0.42500000000000004,0.30103504162619155,1,open_fixed
23,0.4716829467472535,0.42500000000000004,0.04668294674725343,1,open_fixed
24,0.8354046540464657,0.42500000000000004,0.41040465404646564,1,open_fixed
25,1.0368414701530964,0.42500000000000004,0.6118414701530963,1,open_fixed
26,0.7442437787754681,0.42500000000000004,0.31924377877546806,1,open_fixed
27,0.5235260905898051,0.42500000000000004,0.0985260905898051,1,open_fixed
28,0.6276226743762277,0.42500000000000004,0.2026226743762276,1,open_fixed
29,0.5948627698781509,0.42500000000000004,0.16986276987815085,1,open_fixed
