episode,step,sensor_x,peak_idx,d3d_est,d_horiz_est,oracle_horiz_dist,drift,stationarity_ok,waveform_tag
0,0,0.0,25.0,0.5181882527711151,0.4780366777873651,0.4743427900075762,0.03921089616790374,True,ep000_step000
0,1,0.05,22.0,0.4663447207961156,0.42128066489504,0.4243427900075762,0.08085770189193374,False,ep000_step001
0,2,0.1,20.0,0.431782366146116,0.382669585562713,0.3743427900075762,0.013079447402415937,True,ep000_step002
0,3,0.15000000000000002,17.0,0.37993883417111646,0.32303795088395904,0.32434279000757615,0.0033563312158394172,True,ep000_step003
1,0,0.0,43.0,0.8292494446211119,0.8047699307282936,0.7992733200739198,0.019436704963678792,True,ep001_step000
1,1,0.05,38.0,0.7428435579961128,0.7154135528883445,0.7492733200739198,0.06731982103594338,False,ep001_step001
1,2,0.1,38.0,0.7428435579961128,0.7154135528883445,0.6992733200739198,0.08035134729798207,False,ep001_step002
1,3,0.15000000000000002,34.0,0.6737188486961135,0.6433483403945461,0.6492733200739198,0.04733787984306828,True,ep001_step003
1,4,0.2,33.0,0.6564376713711138,0.6252282914225255,0.5992733200739198,0.024512580092184884,True,ep001_step004
1,5,0.25,30.0,0.6045941393961142,0.57055593362275,0.5492733200739198,0.13125153769394654,False,ep001_step005
1,6,0.3,26.0,0.5354694300961149,0.4967167307102289,0.49927332007391984,0.0779122916655654,False,ep001_step006
1,7,0.35,25.0,0.5181882527711151,0.4780366777873651,0.44927332007391985,0.14305377289504673,False,ep001_step007
1,8,0.39999999999999997,23.0,0.48362589812111545,0.4403339747662625,0.39927332007391986,0.015123488427958943,True,ep001_step008
1,9,0.44999999999999996,18.0,0.3972200114961163,0.34319635419534217,0.34927332007391987,0.0023248722336708504,True,ep001_step009
2,0,0.0,39.0,0.7601247353211127,0.7333414029270348,0.7278313576308255,0.13920555582499972,False,ep002_step000
2,1,0.05,37.0,0.725562380671113,0.6974530580943301,0.6778313576308255,0.0025942017012646,True,ep002_step001
2,2,0.1,34.0,0.6737188486961135,0.6433483403945461,0.6278313576308255,0.010532743771532491,True,ep002_step002
2,3,0.15000000000000002,29.0,0.5873129620711144,0.5522105716271161,0.5778313576308255,0.07102083418774585,False,ep002_step003
2,4,0.2,29.0,0.5873129620711144,0.5522105716271161,0.5278313576308256,0.04382061512231363,True,ep002_step004
2,5,0.25,25.0,0.5181882527711151,0.4780366777873651,0.4778313576308255,0.02880794143738388,True,ep002_step005
2,6,0.3,22.0,0.4663447207961156,0.42128066489504,0.4278313576308255,0.051678291380034436,False,ep002_step006
2,7,0.35,20.0,0.431782366146116,0.382669585562713,0.37783135763082554,0.048936099799585256,True,ep002_step007
2,8,0.39999999999999997,17.0,0.37993883417111646,0.32303795088395904,0.32783135763082555,0.008823184473696318,True,ep002_step008
3,0,0.0,35.0,0.6910000260211133,0.6614234921449187,0.6900033155930607,0.09606243116331958,False,ep003_step000
3,1,0.05,35.0,0.6910000260211133,0.6614234921449187,0.6400033155930607,0.039024002187075864,True,ep003_step001
3,2,0.1,31.0,0.6218753167211141,0.588836912520764,0.5900033155930607,0.10122955038650708,False,ep003_step002
3,3,0.15000000000000002,30.0,0.6045941393961142,0.57055593362275,0.5400033155930607,0.01822949387076641,True,ep003_step003
3,4,0.2,27.0,0.5527506074211147,0.5152991694194852,0.4900033155930607,0.02150353555011748,True,ep003_step004
3,5,0.25,23.0,0.48362589812111545,0.4403339747662625,0.4400033155930607,0.1068458168199102,False,ep003_step005
3,6,0.3,20.0,0.431782366146116,0.382669585562713,0.39000331559306073,0.022685364498442703,True,ep003_step006
3,7,0.35,18.0,0.3972200114961163,0.34319635419534217,0.34000331559306074,0.01396644063044819,True,ep003_step007
4,0,0.0,34.0,0.6737188486961135,0.6433483403945461,0.6226350960615765,5.898218649097563e-06,True,ep004_step000
4,1,0.05,30.0,0.6045941393961142,0.57055593362275,0.5726350960615765,0.00043587225645785155,True,ep004_step001
4,2,0.1,29.0,0.5873129620711144,0.5522105716271161,0.5226350960615765,0.15932085009798164,False,ep004_step002
4,3,0.15000000000000002,25.0,0.5181882527711151,0.4780366777873651,0.4726350960615765,0.048778622089852064,True,ep004_step003
4,4,0.2,24.0,0.5009070754461152,0.45924709931798174,0.4226350960615765,0.07914152249292564,False,ep004_step004
4,5,0.25,19.0,0.41450118882111614,0.36305817100585763,0.3726350960615765,0.030547294495209803,True,ep004_step005
4,6,0.3,17.0,0.37993883417111646,0.32303795088395904,0.32263509606157653,0.014627439017390947,True,ep004_step006
5,0,0.0,26.0,0.5354694300961149,0.4967167307102289,0.4656028065231597,0.01054291195987533,True,ep005_step000
5,1,0.05,24.0,0.5009070754461152,0.45924709931798174,0.41560280652315973,0.004952818706503688,True,ep005_step001
5,2,0.1,19.0,0.41450118882111614,0.36305817100585763,0.3656028065231597,0.01364137040360559,True,ep005_step002
5,3,0.15000000000000002,17.0,0.37993883417111646,0.32303795088395904,0.3156028065231597,0.02376379387552855,True,ep005_step003
6,0,0.0,47.0,0.8983741539211113,0.8758288191384619,0.875562437142209,0.09723337889020296,False,ep006_step000
6,1,0.05,44.0,0.8465306219461118,0.8225655559847317,0.825562437142209,0.09491954554034471,False,ep006_step001
6,2,0.1,42.0,0.8119682672961122,0.786951375305902,0.7755624371422091,0.022041954621972237,True,ep006_step002
6,3,0.15000000000000002,39.0,0.7601247353211127,0.7333414029270348,0.725562437142209,0.009839122751341519,True,ep006_step003
6,4,0.2,34.0,0.6737188486961135,0.6433483403945461,0.6755624371422091,0.014018648946824116,True,ep006_step004
6,5,0.25,34.0,0.6737188486961135,0.6433483403945461,0.625562437142209,0.023841156375300834,True,ep006_step005
6,6,0.3,30.0,0.6045941393961142,0.57055593362275,0.575562437142209,0.012441568949145462,True,ep006_step006
6,7,0.35,29.0,0.5873129620711144,0.5522105716271161,0.5255624371422091,0.020380082592272704,True,ep006_step007
6,8,0.39999999999999997,25.0,0.5181882527711151,0.4780366777873651,0.4755624371422091,0.04753817538269811,True,ep006_step008
6,9,0.44999999999999996,22.0,0.4663447207961156,0.42128066489504,0.4255624371422091,0.14121565257934526,False,ep006_step009
6,10,0.49999999999999994,20.0,0.431782366146116,0.382669585562713,0.3755624371422091,0.0030360973267942893,True,ep006_step010
6,11,0.5499999999999999,17.0,0.37993883417111646,0.32303795088395904,0.3255624371422091,0.004109393054464329,True,ep006_step011
7,0,0.0,49.0,0.9329365085711109,0.9112466894452097,0.9104403317596816,0.00844281579410624,True,ep007_step000
7,1,0.05,46.0,0.8810929765961114,0.8580937206430285,0.8604403317596816,0.03411369962569547,True,ep007_step001
7,2,0.1,44.0,0.8465306219461118,0.8225655559847317,0.8104403317596817,0.008231118154787836,True,ep007_step002
7,3,0.15000000000000002,41.0,0.7946870899711123,0.7691082959939742,0.7604403317596816,0.03152634079666925,True,ep007_step003
7,4,0.2,36.0,0.7082812033461132,0.6794573297959322,0.7104403317596817,0.0017547481417816058,True,ep007_step004
7,5,0.25,36.0,0.7082812033461132,0.6794573297959322,0.6604403317596816,0.018638206466971317,True,ep007_step005
7,6,0.3,32.0,0.6391564940461139,0.6070593248450434,0.6104403317596816,0.07784445653683353,False,ep007_step006
7,7,0.35,31.0,0.6218753167211141,0.588836912520764,0.5604403317596817,0.041707913571766585,True,ep007_step007
7,8,0.39999999999999997,28.0,0.5700317847461146,0.5337941884479829,0.5104403317596817,0.05241693246703533,False,ep007_step008
7,9,0.44999999999999996,24.0,0.5009070754461152,0.45924709931798174,0.4604403317596817,0.0339580057638162,True,ep007_step009
7,10,0.49999999999999994,21.0,0.44906354347111577,0.4020672407382062,0.4104403317596817,0.01021184443022896,True,ep007_step010
7,11,0.5499999999999999,19.0,0.41450118882111614,0.36305817100585763,0.3604403317596817,0.030232414333067902,True,ep007_step011
7,12,0.6,16.0,0.36265765684611667,0.3025236785263522,0.31044033175968166,0.014512689482059277,True,ep007_step012
8,0,0.0,40.0,0.7774059126461125,0.7512389453543626,0.7846534812274624,0.04984015073196044,True,ep008_step000
8,1,0.05,40.0,0.7774059126461125,0.7512389453543626,0.7346534812274623,0.02458157295005976,True,ep008_step001
8,2,0.1,37.0,0.725562380671113,0.6974530580943301,0.6846534812274624,0.01941047546584967,True,ep008_step002
8,3,0.15000000000000002,32.0,0.6391564940461139,0.6070593248450434,0.6346534812274623,0.01295442419327361,True,ep008_step003
8,4,0.2,32.0,0.6391564940461139,0.6070593248450434,0.5846534812274624,0.09309512587667876,False,ep008_step004
8,5,0.25,28.0,0.5700317847461146,0.5337941884479829,0.5346534812274624,0.05271967971661195,False,ep008_step005
8,6,0.3,27.0,0.5527506074211147,0.5152991694194852,0.4846534812274624,0.023968338002169094,True,ep008_step006
8,7,0.35,23.0,0.48362589812111545,0.4403339747662625,0.4346534812274624,0.014865507451564399,True,ep008_step007
8,8,0.39999999999999997,20.0,0.431782366146116,0.382669585562713,0.3846534812274624,0.07597528424254515,False,ep008_step008
8,9,0.44999999999999996,18.0,0.3972200114961163,0.34319635419534217,0.3346534812274624,0.01665413575494554,True,ep008_step009
9,0,0.0,45.0,0.8638117992711116,0.8403397078324903,0.8281755415877263,0.13733340405055738,False,ep009_step000
9,1,0.05,42.0,0.8119682672961122,0.786951375305902,0.7781755415877263,0.06997723173825664,False,ep009_step001
9,2,0.1,37.0,0.725562380671113,0.6974530580943301,0.7281755415877263,0.04069308531797403,True,ep009_step002
