episode,target_x,stop_sensor_x,d_horiz_est_stop,n_steps,reason,episode_valid,bar_x_pred,grasp_center_x_actual,align_error_x,aligned,bar_z_gain_m,grasp_lift_success,advance_ik_ok,lift_ik_ok,grasp_pose_peak_idx
0,1.1691237712556801,0.9000000000000002,0.2640013282097407,7,corridor_end,True,1.1,1.0899996557456662,-0.07912530515368688,False,2.086162567138672e-07,False,True,True,19.0
1,1.1353788864096583,0.9000000000000002,0.22021949489159176,7,corridor_end,True,1.1,1.0899996557456662,-0.045380373932678575,False,6.282329559326172e-05,False,True,True,19.0
2,1.0302492671370218,0.9000000000000002,0.3840634402220124,7,corridor_end,True,1.1,1.0899996557456662,0.05975006010357631,False,0.0,False,True,True,19.0
3,1.0616678258568912,0.9000000000000002,0.3840634402220124,7,corridor_end,True,1.1,1.0899996557456662,0.028330663703124648,False,-0.029999852180480957,False,True,True,19.0
4,1.0427267623361345,0.9000000000000002,0.4221097810934275,7,corridor_end,True,1.1,1.0899996557456662,0.04727170851055873,False,0.0,False,True,True,19.0
5,1.0280667708457316,0.9000000000000002,0.3840634402220124,7,corridor_end,True,1.1,1.0899996557456662,0.061931709311645156,False,0.0,False,True,True,19.0
6,1.193872470609139,0.9000000000000002,0.28492933580031876,7,corridor_end,True,1.1,1.0899996557456662,-0.10387327287371861,False,-1.1920928955078125e-07,False,True,True,19.0
7,1.0691914593988665,0.9000000000000002,0.14538380233378137,7,corridor_end,True,1.1,1.0899996557456662,0.02080700781170619,False,0.001901090145111084,False,True,True,19.0
8,1.101765425648425,0.9000000000000002,0.17223390205604708,7,corridor_end,True,1.1,1.0899996557456662,-0.01176609609301793,True,0.06624376773834229,True,True,True,19.0
9,1.193813565848242,0.9000000000000002,0.28492933580031876,7,corridor_end,True,1.1,1.0899996557456662,-0.10381509874041783,False,2.086162567138672e-07,False,True,True,19.0
10,1.1340149562843076,0.9000000000000002,0.22021949489159176,7,corridor_end,True,1.1,1.0899996557456662,-0.04401650045092809,False,-0.029999911785125732,False,True,True,20.0
11,1.1304322563637914,0.9000000000000002,0.22021949489159176,7,corridor_end,True,1.1,1.0899996557456662,-0.04043378446276891,False,1.1920928955078125e-07,False,True,True,19.0
12,1.1169306869587405,0.9000000000000002,0.19693799955115812,7,corridor_end,True,1.1,1.0899996557456662,-0.026932259537536973,False,-0.029999881982803345,False,True,True,19.0
13,1.024420739374244,0.9000000000000002,0.3647694380638052,7,corridor_end,True,1.1,1.0899996557456662,0.0655777254325558,False,0.0,False,True,True,19.0
14,1.090334809464638,0.9000000000000002,0.17223390205604708,7,corridor_end,True,1.1,1.0899996557456662,-0.00033547494586216864,True,0.06765204668045044,True,True,True,19.0
15,1.073008889753418,0.9000000000000002,0.14538380233378137,7,corridor_end,True,1.1,1.0899996557456662,0.016989568732421523,True,4.240870475769043e-05,False,True,True,19.0
16,1.124068028059882,0.9000000000000002,0.22021949489159176,7,corridor_end,True,1.1,1.0899996557456662,-0.03406955812152135,False,0.0012956559658050537,False,True,True,19.0
17,1.0896638076527718,0.9000000000000002,0.17223390205604708,7,corridor_end,True,1.1,1.0899996557456662,0.00033543493572962824,True,-1.4901161193847656e-07,False,True,True,19.0
18,1.1160862123395825,0.9000000000000002,0.19693799955115812,7,corridor_end,True,1.1,1.0899996557456662,-0.026086946465332383,False,0.0013582110404968262,False,True,True,19.0
19,1.1726302712803776,0.9000000000000002,0.2640013282097407,7,corridor_end,True,1.1,1.0899996557456662,-0.0826318464058231,False,1.7881393432617188e-07,False,True,True,19.0
20,1.1317958647044555,0.9000000000000002,0.22021949489159176,7,corridor_end,True,1.1,1.0899996557456662,-0.041797419525940294,False,8.940696716308594e-08,False,True,True,19.0
21,1.0774572474729711,0.9000000000000002,0.14538380233378137,7,corridor_end,True,1.1,1.0899996557456662,0.012542108557860976,True,-0.03000009059906006,False,True,True,19.0
22,1.0306780196357235,0.9000000000000002,0.40316832824303833,7,corridor_end,True,1.1,1.0899996557456662,0.05932042982403529,False,0.0,False,True,True,19.0
23,1.1634884865652415,0.9000000000000002,0.24248849005002188,7,corridor_end,True,1.1,1.0899996557456662,-0.07349004361804234,False,1.7881393432617188e-07,False,True,True,19.0
24,1.1012343333259162,0.9000000000000002,0.17223390205604708,7,corridor_end,True,1.1,1.0899996557456662,-0.0112350187080692,True,0.06595247983932495,True,True,True,19.0
25,1.0420714245548677,0.9000000000000002,0.4409088628101414,7,corridor_end,True,1.1,1.0899996557456662,0.04792783644024623,False,0.0,False,True,True,19.0
26,1.0841117005452092,0.9000000000000002,0.17223390205604708,7,corridor_end,True,1.1,1.0899996557456662,0.005887607596557265,True,0.06522977352142334,True,True,True,19.0
27,1.1868226748019974,0.9000000000000002,0.28492933580031876,7,corridor_end,True,1.1,1.0899996557456662,-0.09682335469897496,False,-1.7881393432617188e-07,False,True,True,19.0
28,1.0520237763268177,0.9000000000000002,0.4409088628101414,7,corridor_end,True,1.1,1.0899996557456662,0.03797469522778285,False,2.086162567138672e-07,False,True,True,19.0
29,1.017094330813606,0.9000000000000002,0.3840634402220124,7,corridor_end,True,1.1,1.0899996557456662,0.07290492441479457,False,0.0,False,True,True,19.0
