target_distance_m,rtx_repeat_count,amplitude_max_mean,amplitude_mean_mean,amplitude_max_std_across_repeats,primary_sgw_peak_mean,primary_sgw_early_energy_mean,ref_sgw_peak_mean,all_sgw_peak_mean_mean,pra_geometry_policy,pra_absorption_label,pra_absorption_value,pra_rir_peak_abs_value,pra_direct_delay_ms,pra_rt60_measured,pra_early_energy_50ms
0.5,1,5054.6296793619795,380.57772955133106,0.0,5054.6296793619795,165.37677056590715,5054.6296793619795,4913.071797688802,formal_ur10_fixed_tcp_reference_cond_B,medium_absorption,0.35,1.9659960693461858,1.4583333333333333,0.20978151047476226,7.312682203746516
1.0,1,5171.285237630208,392.6711355127627,0.0,5171.285237630208,168.78718479226032,5171.285237630208,5120.4327392578125,formal_ur10_fixed_tcp_reference_cond_B,medium_absorption,0.35,0.9500900350866351,2.9166666666666665,0.20510907749094295,2.982718120513425
1.5,1,5171.060953776042,394.755658370982,0.0,5171.060953776042,158.134287049373,5171.060953776042,5120.3725992838545,formal_ur10_fixed_tcp_reference_cond_B,medium_absorption,0.35,0.6015983557308117,4.375,0.20562266752367234,1.8556858510396967
2.0,1,5171.112141927083,395.66634276139854,0.0,5171.112141927083,156.2293461288015,5171.112141927083,5120.336263020833,formal_ur10_fixed_tcp_reference_cond_B,medium_absorption,0.35,0.44298980075976735,5.833333333333333,0.21890055565657826,1.499345446432051
2.5,1,5171.2301025390625,396.10431949908383,0.0,5171.2301025390625,155.76553947478533,5171.2301025390625,5120.505106608073,formal_ur10_fixed_tcp_reference_cond_B,medium_absorption,0.35,0.312663810608054,7.291666666666667,0.21932578923378487,1.2951112611111624
3.0,1,5170.994140625,396.2451752635418,0.0,5170.994140625,157.11480116844177,5170.994140625,5120.1273193359375,formal_ur10_fixed_tcp_reference_cond_B,medium_absorption,0.35,0.27132086982185766,8.75,0.22087321398614293,1.143115957422704
