experiment_id,model_name,external_backend_path,room_dim,geometry_policy,target_distance_m,absorption_label,absorption_value,source_position,mic_position,fs,max_order,ray_tracing,air_absorption,rir_peak_index,rir_peak_value,rir_peak_abs_value,direct_delay_samples,direct_delay_ms,rt60_measured,early_energy_50ms,early_energy_100ms,early_late_energy_ratio,runtime_s,method_note
exp4_pra_distance_0.5m,PyRoomAcoustics,/home/lab109/下載/ai-pyroomacoustics-main/backend/server.py,4.5x3x2.8,formal_ur10_fixed_tcp_reference_cond_B,0.5,medium_absorption,0.35,"[1.3, 0.16, 0.65]","[0.8, 0.16, 0.65]",96000,10,True,True,180,1.9659960693461858,1.9659960693461858,140,1.4583333333333333,0.20978151047476226,7.312682203746516,7.380439092855827,105.78032754887711,0.0926085589453578,"Batch PRA reference uses direct PyRoomAcoustics calls while recording the external ai-pyroomacoustics backend path for integration provenance; no UI, GPT recommendation, or audio playback output is used as thesis evidence."
exp4_pra_distance_1m,PyRoomAcoustics,/home/lab109/下載/ai-pyroomacoustics-main/backend/server.py,4.5x3x2.8,formal_ur10_fixed_tcp_reference_cond_B,1.0,medium_absorption,0.35,"[1.8, 0.16, 0.65]","[0.8, 0.16, 0.65]",96000,10,True,True,320,0.9500900350866351,0.9500900350866351,280,2.9166666666666665,0.20510907749094295,2.982718120513425,3.05298822667772,41.7744080980584,0.12895483302418143,"Batch PRA reference uses direct PyRoomAcoustics calls while recording the external ai-pyroomacoustics backend path for integration provenance; no UI, GPT recommendation, or audio playback output is used as thesis evidence."
exp4_pra_distance_1.5m,PyRoomAcoustics,/home/lab109/下載/ai-pyroomacoustics-main/backend/server.py,4.5x3x2.8,formal_ur10_fixed_tcp_reference_cond_B,1.5,medium_absorption,0.35,"[2.3, 0.16, 0.65]","[0.8, 0.16, 0.65]",96000,10,True,True,460,0.6015983557308117,0.6015983557308117,420,4.375,0.20562266752367234,1.8556858510396967,1.9234628732935404,26.977866230502528,0.14800945098977536,"Batch PRA reference uses direct PyRoomAcoustics calls while recording the external ai-pyroomacoustics backend path for integration provenance; no UI, GPT recommendation, or audio playback output is used as thesis evidence."
exp4_pra_distance_2m,PyRoomAcoustics,/home/lab109/下載/ai-pyroomacoustics-main/backend/server.py,4.5x3x2.8,formal_ur10_fixed_tcp_reference_cond_B,2.0,medium_absorption,0.35,"[2.8, 0.16, 0.65]","[0.8, 0.16, 0.65]",96000,10,True,True,600,0.44298980075976735,0.44298980075976735,560,5.833333333333333,0.21890055565657826,1.499345446432051,1.563431196589887,22.97268288022833,0.12700568104628474,"Batch PRA reference uses direct PyRoomAcoustics calls while recording the external ai-pyroomacoustics backend path for integration provenance; no UI, GPT recommendation, or audio playback output is used as thesis evidence."
exp4_pra_distance_2.5m,PyRoomAcoustics,/home/lab109/下載/ai-pyroomacoustics-main/backend/server.py,4.5x3x2.8,formal_ur10_fixed_tcp_reference_cond_B,2.5,medium_absorption,0.35,"[3.3, 0.16, 0.65]","[0.8, 0.16, 0.65]",96000,10,True,True,740,0.312663810608054,0.312663810608054,700,7.291666666666667,0.21932578923378487,1.2951112611111624,1.3638215222359598,18.590211601813937,0.1269969439599663,"Batch PRA reference uses direct PyRoomAcoustics calls while recording the external ai-pyroomacoustics backend path for integration provenance; no UI, GPT recommendation, or audio playback output is used as thesis evidence."
exp4_pra_distance_3m,PyRoomAcoustics,/home/lab109/下載/ai-pyroomacoustics-main/backend/server.py,4.5x3x2.8,formal_ur10_fixed_tcp_reference_cond_B,3.0,medium_absorption,0.35,"[3.8, 0.16, 0.65]","[0.8, 0.16, 0.65]",96000,10,True,True,880,0.27132086982185766,0.27132086982185766,840,8.75,0.22087321398614293,1.143115957422704,1.2110049396957534,16.59283523072205,0.13800551102031022,"Batch PRA reference uses direct PyRoomAcoustics calls while recording the external ai-pyroomacoustics backend path for integration provenance; no UI, GPT recommendation, or audio playback output is used as thesis evidence."
