episode,target_x,stop_sensor_x,stop_sensor_x_actual,stop_oracle_horiz_dist,n_steps,reason,episode_valid
0,1.0112351338496506,0.7000000000000001,0.7000078566784489,0.3112351338496505,3,standoff_est,True
1,1.1612030708033476,0.8500000000000002,0.8500235798860047,0.3112030708033474,6,standoff_est,True
2,1.1282298573680734,0.8000000000000002,0.8000176432805527,0.3282298573680732,5,standoff_est,True
3,1.1107707610429511,0.8000000000000002,0.8000176432805527,0.310770761042951,5,standoff_est,True
4,1.0796777366438046,0.7500000000000001,0.7500125736661709,0.3296777366438045,4,standoff_est,True
5,1.0072012953183813,0.7000000000000001,0.7000078566784489,0.30720129531838125,3,standoff_est,True
6,1.1964134325271734,0.8500000000000002,0.8500235798860047,0.34641343252717316,6,standoff_est,True
7,1.2125109223506223,0.9000000000000002,0.9000300558224845,0.31251092235062206,7,standoff_est,True
8,1.1544554528742135,0.8500000000000002,0.8500235798860047,0.3044554528742133,6,standoff_est,True
9,1.1745425576558737,0.8500000000000002,0.8500235798860047,0.3245425576558735,6,standoff_est,True
10,1.2268794958288063,0.9000000000000002,0.9000300558224845,0.32687949582880604,7,standoff_est,True
11,1.1331863595136367,0.8000000000000002,0.8000176432805527,0.3331863595136365,5,standoff_est,True
12,1.290048075827872,0.9500000000000003,0.9500381445758157,0.3400480758278718,8,standoff_est,True
13,1.0440636031184176,0.7000000000000001,0.7000078566784489,0.34406360311841755,3,standoff_est,True
14,1.021150961790832,0.7000000000000001,0.7000078566784489,0.321150961790832,3,standoff_est,True
15,1.0599754751997101,0.7500000000000001,0.7500125736661709,0.30997547519971,4,standoff_est,True
16,1.1418372525363654,0.8000000000000002,0.8000176432805527,0.3418372525363652,5,standoff_est,True
17,1.18614948041193,0.8500000000000002,0.8500235798860047,0.3361494804119297,6,standoff_est,True
18,1.1483731175185203,0.8000000000000002,0.8000176432805527,0.3483731175185202,5,standoff_est,True
19,1.1649660667830513,0.8500000000000002,0.8500235798860047,0.31496606678305106,6,standoff_est,True
20,1.0761105827633186,0.7500000000000001,0.7500125736661709,0.3261105827633185,4,standoff_est,True
21,1.1581031627096914,0.8500000000000002,0.8500235798860047,0.3081031627096912,6,standoff_est,True
22,1.1274007884428576,0.8000000000000002,0.8000176432805527,0.32740078844285747,5,standoff_est,True
23,1.0100075138833478,0.7000000000000001,0.7000078566784489,0.3100075138833477,3,standoff_est,True
24,1.1778790710983686,0.8500000000000002,0.8500235798860047,0.32787907109836845,6,standoff_est,True
25,1.270849909301429,0.9500000000000003,0.9500381445758157,0.32084990930142865,8,standoff_est,True
26,1.135804820973293,0.8000000000000002,0.8000176432805527,0.3358048209732928,5,standoff_est,True
27,1.0339351187337562,0.7000000000000001,0.7000078566784489,0.33393511873375614,3,standoff_est,True
28,1.081979695865951,0.7500000000000001,0.7500125736661709,0.331979695865951,4,standoff_est,True
29,1.0668597399437618,0.7500000000000001,0.7500125736661709,0.3168597399437617,4,standoff_est,True
