point_index,nominal_distance_m,true_distance_3d_m,target_x_m,target_y_m,target_z_m,peak_sample_idx,early_energy,rx0_early,rx1_early,point_drift,stationarity_ok,waveform_tag
0,0.15,0.15,0.15,0.0,0.65,5.0,2985.5994586038405,2985.5994586038405,32.06426428469964,0.006011350665162228,True,point_00
1,0.20526315789473684,0.20526315789473684,0.20526315789473684,0.0,0.65,8.0,8088.178178914662,8088.178178914662,1196.3136800230059,0.004159445692646835,True,point_01
2,0.2605263157894737,0.2605263157894737,0.2605263157894737,0.0,0.65,11.0,12525.645170939639,12525.645170939639,4648.063857662905,0.0010009989978383763,True,point_02
3,0.3157894736842105,0.3157894736842105,0.3157894736842105,0.0,0.65,14.0,9815.368437674171,9815.368437674171,5203.7068050299795,0.001883572707632059,True,point_03
4,0.3710526315789474,0.3710526315789474,0.3710526315789474,0.0,0.65,17.0,7637.7638926526615,7637.7638926526615,4919.030990845835,0.0014786108710974155,True,point_04
5,0.4263157894736842,0.4263157894736842,0.4263157894736842,0.0,0.65,20.0,26.224872889717115,26.224872889717115,4115.378900961539,0.003249789442297966,True,point_05
6,0.4815789473684211,0.4815789473684211,0.4815789473684211,0.0,0.65,23.0,27.88998567124811,27.88998567124811,31.597903767639593,0.08035140064318448,False,point_06
7,0.5368421052631579,0.5368421052631579,0.5368421052631579,0.0,0.65,26.0,26.338225972955712,26.338225972955712,31.686028437740553,0.04733828389459357,True,point_07
8,0.5921052631578948,0.5921052631578948,0.5921052631578948,0.0,0.65,27.0,31.76610976692699,25.771920927609578,31.76610976692699,0.0004195380552851429,True,point_08
9,0.6473684210526316,0.6473684210526316,0.6473684210526316,0.0,0.65,33.0,26.51013592046582,26.51013592046582,31.308552358106738,0.131251612981607,False,point_09
10,0.7026315789473685,0.7026315789473685,0.7026315789473685,0.0,0.65,36.0,27.20986023436575,27.20986023436575,31.291517368311734,0.07791216907841621,False,point_10
11,0.7578947368421053,0.7578947368421053,0.7578947368421053,0.0,0.65,39.0,27.441185441696383,27.441185441696383,31.27898360986023,0.1430539797054579,False,point_11
12,0.8131578947368422,0.8131578947368422,0.8131578947368422,0.0,0.65,42.0,26.207041836101133,26.207041836101133,30.036300718696086,0.015123309904875832,True,point_12
13,0.8684210526315791,0.8684210526315791,0.8684210526315791,0.0,0.65,45.0,27.54891063940445,27.54891063940445,31.312293606982166,0.011436653671257666,True,point_13
14,0.9236842105263159,0.9236842105263159,0.9236842105263159,0.0,0.65,48.0,25.944758092436288,25.944758092436288,30.220669486776327,0.039573634694738825,True,point_14
15,0.9789473684210527,0.9789473684210527,0.9789473684210527,0.0,0.65,51.0,24.98590660342783,24.98590660342783,33.010388566723854,0.0025939712953559693,True,point_15
16,1.0342105263157895,1.0342105263157895,1.0342105263157895,0.0,0.65,55.0,25.281775246954,25.281775246954,31.236521735451447,0.010532720536002968,True,point_16
17,1.0894736842105264,1.0894736842105264,1.0894736842105264,0.0,0.65,58.0,26.71087637392554,26.71087637392554,29.433352123112407,0.028164520612201607,True,point_17
18,1.1447368421052633,1.1447368421052633,1.1447368421052633,0.0,0.65,61.0,26.619623974076482,26.619623974076482,30.66703160730782,0.043820580569932134,True,point_18
19,1.2,1.2,1.2,0.0,0.65,64.0,24.661872764183457,24.661872764183457,32.176253828560554,0.02880806780248984,True,point_19
