target_index,ik_ok,peak_sample_idx,point_drift,range_3d_est_m,range_horiz_est_m,sensor_angle_deg,sensor_x,sensor_y,sensor_z,stationarity_ok,target_x_true,target_y_true,vantage_index,waveform_tag
0,True,24.0,0.03606556592069264,0.48010480658345017,0.4409050747500753,0.015590467522487968,0.5999942672188272,-0.24996043198122905,0.6500087902286698,True,1.0,-0.075,0,t00_v0
0,True,23.0,0.018786096352088145,0.4629002779160337,0.4219730236174855,0.0914642635307868,0.5999945847177396,-0.21453814804518145,0.6503035328990461,True,1.0,-0.075,1,t00_v1
0,True,22.0,0.014404727100435992,0.44569574924861727,0.4030183356469828,0.09882248232422976,0.5999970076791361,-0.1788590382920641,0.6503179498382174,True,1.0,-0.075,2,t00_v2
0,True,22.0,0.010812959654147547,0.44569574924861727,0.4030735644105199,0.054579836327358695,0.5999972808079161,-0.14297890691898754,0.6502009531303269,True,1.0,-0.075,3,t00_v3
0,True,24.0,0.051825912017621475,0.48010480658345017,0.44080440476946753,0.06063704392307423,0.5999972849723674,-0.10724488756266959,0.6502422193950848,False,1.0,-0.075,4,t00_v4
0,True,24.0,0.003776969540899252,0.48010480658345017,0.440705619967967,0.10968439314922832,0.59999849686851,-0.07150020563615937,0.6504709474780392,True,1.0,-0.075,5,t00_v5
0,True,24.0,0.03309605939928243,0.48010480658345017,0.44074011175593286,0.08994978362800957,0.5999992949707594,-0.03572105357571624,0.6503911216257205,True,1.0,-0.075,6,t00_v6
0,True,22.0,0.029463708176046804,0.44569574924861727,0.403038418043033,0.06322881627547422,0.5999998314016323,1.1044242398506474e-05,0.6502754174339284,True,1.0,-0.075,7,t00_v7
0,True,22.0,0.04932711260842738,0.44569574924861727,0.4029925472600685,0.08910479693579249,0.6000010935208556,0.0356059541047167,0.6503725498887059,True,1.0,-0.075,8,t00_v8
0,True,23.0,0.13745763313353665,0.4629002779160337,0.4219478137488294,0.0838175664386622,0.6000038308050406,0.07148551290900919,0.650359422586129,False,1.0,-0.075,9,t00_v9
