episode,target_x,stop_sensor_x,stop_sensor_x_actual,stop_oracle_horiz_dist,n_steps,reason,episode_valid
0,1.0112351338496506,0.7999999999999999,0.8000177864768347,0.21123513384965065,1,open_fixed,True
1,1.1612030708033476,0.7999999999999999,0.8000177864768347,0.3612030708033477,1,open_fixed,True
2,1.1282298573680734,0.7999999999999999,0.8000177864768347,0.3282298573680734,1,open_fixed,True
3,1.1107707610429511,0.7999999999999999,0.8000177864768347,0.3107707610429512,1,open_fixed,True
4,1.0796777366438046,0.7999999999999999,0.8000177864768347,0.2796777366438047,1,open_fixed,True
5,1.0072012953183813,0.7999999999999999,0.8000177864768347,0.20720129531838138,1,open_fixed,True
6,1.1964134325271734,0.7999999999999999,0.8000177864768347,0.3964134325271734,1,open_fixed,True
7,1.2125109223506223,0.7999999999999999,0.8000177864768347,0.41251092235062237,1,open_fixed,True
8,1.1544554528742135,0.7999999999999999,0.8000177864768347,0.35445545287421354,1,open_fixed,True
9,1.1745425576558737,0.7999999999999999,0.8000177864768347,0.37454255765587374,1,open_fixed,True
10,1.2268794958288063,0.7999999999999999,0.8000177864768347,0.42687949582880635,1,open_fixed,True
11,1.1331863595136367,0.7999999999999999,0.8000177864768347,0.33318635951363673,1,open_fixed,True
12,1.290048075827872,0.7999999999999999,0.8000177864768347,0.49004807582787213,1,open_fixed,True
13,1.0440636031184176,0.7999999999999999,0.8000177864768347,0.24406360311841768,1,open_fixed,True
14,1.021150961790832,0.7999999999999999,0.8000177864768347,0.22115096179083216,1,open_fixed,True
15,1.0599754751997101,0.7999999999999999,0.8000177864768347,0.2599754751997102,1,open_fixed,True
16,1.1418372525363654,0.7999999999999999,0.8000177864768347,0.34183725253636543,1,open_fixed,True
17,1.18614948041193,0.7999999999999999,0.8000177864768347,0.38614948041193,1,open_fixed,True
18,1.1483731175185203,0.7999999999999999,0.8000177864768347,0.3483731175185204,1,open_fixed,True
19,1.1649660667830513,0.7999999999999999,0.8000177864768347,0.3649660667830513,1,open_fixed,True
20,1.0761105827633186,0.7999999999999999,0.8000177864768347,0.2761105827633187,1,open_fixed,True
21,1.1581031627096914,0.7999999999999999,0.8000177864768347,0.35810316270969145,1,open_fixed,True
22,1.1274007884428576,0.7999999999999999,0.8000177864768347,0.3274007884428577,1,open_fixed,True
23,1.0100075138833478,0.7999999999999999,0.8000177864768347,0.21000751388334782,1,open_fixed,True
24,1.1778790710983686,0.7999999999999999,0.8000177864768347,0.3778790710983687,1,open_fixed,True
25,1.270849909301429,0.7999999999999999,0.8000177864768347,0.470849909301429,1,open_fixed,True
26,1.135804820973293,0.7999999999999999,0.8000177864768347,0.335804820973293,1,open_fixed,True
27,1.0339351187337562,0.7999999999999999,0.8000177864768347,0.23393511873375628,1,open_fixed,True
28,1.081979695865951,0.7999999999999999,0.8000177864768347,0.2819796958659512,1,open_fixed,True
29,1.0668597399437618,0.7999999999999999,0.8000177864768347,0.2668597399437619,1,open_fixed,True
