material_condition,target_distance_m,amplitude_max_mean,primary_sgw_peak_mean,primary_sgw_early_energy_mean,ref_sgw_early_energy_mean,all_sgw_peak_mean_mean
A,0.5,5054.6306559244795,5054.6306559244795,165.37677451968193,165.37677451968193,4913.072570800781
A,3.0,5170.997314453125,5170.997314453125,157.1148043870926,157.1148043870926,5120.127685546875
B,0.5,5054.6296793619795,5054.6296793619795,165.37677056590715,165.37677056590715,4913.071797688802
B,3.0,5170.994140625,5170.994140625,157.11480116844177,157.11480116844177,5120.1273193359375
C,0.5,5054.6395263671875,5054.6395263671875,190.5690195262432,190.5690195262432,4913.080240885417
C,3.0,5171.006591796875,5171.006591796875,157.11480277776718,157.11480277776718,5120.1376953125
