episode,target_x,stop_sensor_x,stop_oracle_horiz_dist,n_steps,reason
0,0.4743427900075762,1.1500000000000004,-0.6756572099924242,24,corridor_end
1,0.7992733200739198,1.1500000000000004,-0.35072667992608053,24,corridor_end
2,0.7278313576308255,1.1500000000000004,-0.42216864236917484,24,corridor_end
3,0.6900033155930607,1.1500000000000004,-0.45999668440693964,24,corridor_end
4,0.6226350960615765,1.1500000000000004,-0.5273649039384238,24,corridor_end
5,0.4656028065231597,1.1500000000000004,-0.6843971934768407,24,corridor_end
6,0.875562437142209,1.1500000000000004,-0.2744375628577913,24,corridor_end
7,0.9104403317596816,1.1500000000000004,-0.2395596682403187,24,corridor_end
8,0.7846534812274624,1.1500000000000004,-0.365346518772538,24,corridor_end
9,0.8281755415877263,1.1500000000000004,-0.32182445841227403,24,corridor_end
10,0.9415722409624137,1.1500000000000004,-0.2084277590375867,24,corridor_end
11,0.7385704456128797,1.1500000000000004,-0.4114295543871207,24,corridor_end
12,1.0784374976270563,1.1500000000000004,-0.07156250237294404,24,corridor_end
13,0.5454711400899049,1.1500000000000004,-0.6045288599100954,24,corridor_end
14,0.4958270838801364,1.1500000000000004,-0.654172916119864,24,corridor_end
15,0.5799468629327053,1.1500000000000004,-0.5700531370672951,24,corridor_end
16,0.7573140471621251,1.1500000000000004,-0.3926859528378752,24,corridor_end
17,0.853323874225848,1.1500000000000004,-0.29667612577415237,24,corridor_end
18,0.7714750879567942,1.1500000000000004,-0.37852491204320615,24,corridor_end
19,0.8074264780299442,1.1500000000000004,-0.3425735219700562,24,corridor_end
20,0.6149062626538568,1.1500000000000004,-0.5350937373461435,24,corridor_end
21,0.7925568525376647,1.1500000000000004,-0.35744314746233563,24,corridor_end
22,0.7260350416261916,1.1500000000000004,-0.42396495837380876,24,corridor_end
23,0.4716829467472535,1.1500000000000004,-0.6783170532527469,24,corridor_end
24,0.8354046540464657,1.1500000000000004,-0.31459534595353467,24,corridor_end
25,1.0368414701530964,1.1500000000000004,-0.113158529846904,24,corridor_end
26,0.7442437787754681,1.1500000000000004,-0.40575622122453225,24,corridor_end
27,0.5235260905898051,1.1500000000000004,-0.6264739094101952,24,corridor_end
28,0.6276226743762277,1.1500000000000004,-0.5223773256237727,24,corridor_end
29,0.5948627698781509,1.1500000000000004,-0.5551372301218495,24,corridor_end
