episode,step,sensor_x,peak_idx,d3d_est,d_horiz_est,oracle_horiz_dist,drift,stationarity_ok,waveform_tag
0,0,0.0,25.0,0.5181882527711151,inf,0.4743427900075762,0.039210669460221205,True,ep000_step000
0,1,0.05,22.0,0.4663447207961156,inf,0.4243427900075762,0.0808577567071244,False,ep000_step001
0,2,0.1,20.0,0.431782366146116,inf,0.3743427900075762,0.01307889145471265,True,ep000_step002
0,3,0.15000000000000002,17.0,0.37993883417111646,inf,0.32434279000757615,0.0033564342668562386,True,ep000_step003
0,4,0.2,15.0,0.34537647952111683,inf,0.27434279000757616,0.008540117766003177,True,ep000_step004
0,5,0.25,12.0,0.29353294754611736,inf,0.22434279000757618,0.0386232682651192,True,ep000_step005
0,6,0.3,28.0,0.5700317847461146,inf,0.1743427900075762,0.07064036256547299,False,ep000_step006
0,7,0.35,21.0,0.44906354347111577,inf,0.1243427900075762,0.056665736177522276,False,ep000_step007
0,8,0.39999999999999997,19.0,0.41450118882111614,inf,0.07434279000757621,0.02451261710329428,True,ep000_step008
0,9,0.44999999999999996,19.0,0.41450118882111614,inf,0.02434279000757622,0.1312514566081723,False,ep000_step009
0,10,0.49999999999999994,19.0,0.41450118882111614,inf,-0.02565720999242377,0.07791221686665308,False,ep000_step010
0,11,0.5499999999999999,19.0,0.41450118882111614,inf,-0.07565720999242376,0.14305390148619349,False,ep000_step011
0,12,0.6,19.0,0.41450118882111614,inf,-0.1256572099924238,0.015123626616531707,True,ep000_step012
0,13,0.65,19.0,0.41450118882111614,inf,-0.17565720999242385,0.011436709094577288,True,ep000_step013
0,14,0.7000000000000001,19.0,0.41450118882111614,inf,-0.2256572099924239,0.039573828731946176,True,ep000_step014
0,15,0.7500000000000001,19.0,0.41450118882111614,inf,-0.27565720999242393,0.002594269043819516,True,ep000_step015
0,16,0.8000000000000002,19.0,0.41450118882111614,inf,-0.325657209992424,0.010532821916205963,True,ep000_step016
0,17,0.8500000000000002,20.0,0.431782366146116,inf,-0.375657209992424,0.028164289370848902,True,ep000_step017
0,18,0.9000000000000002,20.0,0.431782366146116,inf,-0.42565720999242407,0.043820652918604236,True,ep000_step018
0,19,0.9500000000000003,19.0,0.41450118882111614,inf,-0.4756572099924241,0.02880812095031064,True,ep000_step019
0,20,1.0000000000000002,19.0,0.41450118882111614,inf,-0.525657209992424,0.05167826255323004,False,ep000_step020
0,21,1.0500000000000003,19.0,0.41450118882111614,inf,-0.5756572099924241,0.11364775199030147,False,ep000_step021
0,22,1.1000000000000003,19.0,0.41450118882111614,inf,-0.6256572099924241,0.07613296851531334,False,ep000_step022
0,23,1.1500000000000004,58.0,1.0884671044961094,inf,-0.6756572099924242,0.04944664441707376,True,ep000_step023
1,0,0.0,43.0,0.8292494446211119,inf,0.7992733200739198,0.039024091152636275,True,ep001_step000
1,1,0.05,38.0,0.7428435579961128,inf,0.7492733200739198,0.00018175654559055896,True,ep001_step001
1,2,0.1,38.0,0.7428435579961128,inf,0.6992733200739198,0.01822942205119533,True,ep001_step002
1,3,0.15000000000000002,34.0,0.6737188486961135,inf,0.6492733200739198,0.021503502348332284,True,ep001_step003
1,4,0.2,33.0,0.6564376713711138,inf,0.5992733200739198,0.10684574718793788,False,ep001_step004
1,5,0.25,30.0,0.6045941393961142,inf,0.5492733200739198,0.022685450312901964,True,ep001_step005
1,6,0.3,26.0,0.5354694300961149,inf,0.49927332007391984,0.015277659479630352,True,ep001_step006
1,7,0.35,25.0,0.5181882527711151,inf,0.44927332007391985,5.761161707884642e-06,True,ep001_step007
1,8,0.39999999999999997,23.0,0.48362589812111545,inf,0.39927332007391986,0.0004356487964100365,True,ep001_step008
1,9,0.44999999999999996,18.0,0.3972200114961163,inf,0.34927332007391987,0.024333653899371935,True,ep001_step009
1,10,0.49999999999999994,16.0,0.36265765684611667,inf,0.2992733200739199,0.022433525515005315,True,ep001_step010
1,11,0.5499999999999999,14.0,0.328095302196117,inf,0.2492733200739199,0.053793082029173836,False,ep001_step011
1,12,0.6,11.0,0.2762517702211175,inf,0.19927332007391985,0.054519262931237704,False,ep001_step012
1,13,0.65,24.0,0.5009070754461152,inf,0.1492733200739198,0.05537135188939721,False,ep001_step013
1,14,0.7000000000000001,20.0,0.431782366146116,inf,0.09927332007391976,0.010028013486077172,True,ep001_step014
1,15,0.7500000000000001,19.0,0.41450118882111614,inf,0.04927332007391971,0.004953055866759804,True,ep001_step015
1,16,0.8000000000000002,20.0,0.431782366146116,inf,-0.0007266799260803314,0.3064240157410385,False,ep001_step016
1,17,0.8500000000000002,19.0,0.41450118882111614,inf,-0.050726679926080376,0.018108251953068727,True,ep001_step017
1,18,0.9000000000000002,19.0,0.41450118882111614,inf,-0.10072667992608042,0.09723338294726262,False,ep001_step018
1,19,0.9500000000000003,19.0,0.41450118882111614,inf,-0.15072667992608046,0.09491949433069122,False,ep001_step019
1,20,1.0000000000000002,19.0,0.41450118882111614,inf,-0.2007266799260804,0.022041716177011426,True,ep001_step020
