oracle_distance_m,peak_sample_idx,inferred_dist_m,early_energy,ultra_early_energy,early_fraction,peak_amplitude,total_energy,tof_first_ns,n_signal_ways,n_samples_per_sgw,n_elements
0.2,8.0,0.18179,565.6413443215914,226.42758761892196,0.6108507754531792,17.97203763326009,926.1912022037842,0.0,2.0,320.0,640.0
0.26842105263157895,11.0,0.24996125,544.5061188386998,9.823463083817435,0.611177356251443,17.970279057820637,890.836818500586,0.0,2.0,320.0,640.0
0.33684210526315794,15.0,0.34085625,470.2186430269569,11.355826570944393,0.5714879694761271,18.96832529703776,822.8182644589202,0.0,2.0,320.0,640.0
0.4052631578947369,19.0,0.43175125,358.1917780153453,8.927838934774657,0.48089326543848654,18.30115858713786,744.8137832640386,0.0,2.0,320.0,640.0
0.4736842105263158,23.0,0.52264625,24.72311199087976,11.479522014441445,0.03571705249358517,17.102598508199055,692.5513159987295,0.0,2.0,320.0,640.0
0.5421052631578948,27.0,0.61354125,22.870645186771927,8.93082570907488,0.03518000125736271,16.25598080952962,651.888974465749,0.0,2.0,320.0,640.0
0.6105263157894738,31.0,0.70443625,24.878722478634668,9.832131258285568,0.04121581061193371,15.08336846033732,603.9879489618161,0.0,2.0,320.0,640.0
0.6789473684210527,34.0,0.7726075,24.45063302234226,8.70092043375967,0.04414900226623627,13.075578689575195,553.9010476178704,0.0,2.0,320.0,640.0
0.7473684210526317,37.0,0.84077875,22.580084431163655,8.08078702624764,0.04333037737359787,11.6461714108785,521.3170310024567,0.0,2.0,320.0,640.0
0.8157894736842106,40.0,0.90895,24.140400255169073,10.007050724108863,0.048860679924279726,10.67088508605957,494.1896118829018,0.0,2.0,320.0,640.0
0.8842105263157896,44.333333333333336,1.0074195833333333,24.145313712696844,8.40818621965659,0.0496929025697995,9.233339309692383,485.49557226539736,0.0,2.0,320.0,640.0
0.9526315789473685,50.0,1.1361875,21.94527887837067,8.419541808977439,0.041445522933350284,10.8042844136556,528.8795198536869,0.0,2.0,320.0,640.0
1.0210526315789474,54.0,1.2270825,20.891997747562467,8.351457440946776,0.03708276584828787,12.637987772623697,563.0051863754994,0.0,2.0,320.0,640.0
1.0894736842105264,58.0,1.3179775,24.187841363357176,8.821914497034479,0.040477872612111464,13.894968191782633,597.0255629705101,0.0,2.0,320.0,640.0
1.1578947368421053,62.0,1.4088725,23.187526589385993,9.855013464259505,0.03669746009110767,16.111511548360188,632.040950963656,0.0,2.0,320.0,640.0
1.2263157894736842,66.0,1.4997675,21.232547578139126,8.926616152155905,0.030681077008486834,17.305196444193523,692.0085596304871,0.0,2.0,320.0,640.0
1.2947368421052632,70.0,1.5906624999999999,21.926187651232606,8.729306833641255,0.030349487849614595,18.177613576253254,721.4316203106429,0.0,2.0,320.0,640.0
1.3631578947368421,73.5,1.6701956249999999,24.71384177681024,10.779127700035273,0.03395197493961901,18.043714841206867,726.8894770604696,0.0,2.0,320.0,640.0
1.431578947368421,75.0,1.70428125,23.729029273001483,9.31497426673072,0.032668610209814354,18.267072995503742,726.8617629985655,0.0,2.0,320.0,640.0
1.5,79.0,1.79517625,22.98404489023902,10.079472807791245,0.032025706768409566,16.873889923095703,717.7572431258845,0.0,2.0,320.0,640.0
